Date,Country,Vaccine,NumberOfVaccinated
2021-11-05,Austria,Johnson&Johnson,332702
2021-11-05,Austria,Moderna,1072417
2021-11-05,Austria,Oxford/AstraZeneca,1574159
2021-11-05,Austria,Pfizer/BioNTech,8318346
2021-11-05,Belgium,Johnson&Johnson,397910
2021-11-05,Belgium,Moderna,1358199
2021-11-05,Belgium,Oxford/AstraZeneca,2836361
2021-11-05,Belgium,Pfizer/BioNTech,11781333
2021-11-05,Chile,CanSino,572017
2021-11-05,Chile,Oxford/AstraZeneca,532459
2021-11-05,Chile,Pfizer/BioNTech,7420047
2021-11-05,Chile,Sinovac,22959432
2021-11-05,Czechia,Johnson&Johnson,305850
2021-11-05,Czechia,Moderna,975842
2021-11-05,Czechia,Oxford/AstraZeneca,882560
2021-11-05,Czechia,Pfizer/BioNTech,10338581
2021-11-05,Denmark,Johnson&Johnson,45846
2021-11-05,Denmark,Moderna,1147823
2021-11-05,Denmark,Oxford/AstraZeneca,153327
2021-11-05,Denmark,Pfizer/BioNTech,6912796
2021-11-05,Estonia,Johnson&Johnson,66093
2021-11-05,Estonia,Moderna,151070
2021-11-05,Estonia,Oxford/AstraZeneca,235650
2021-11-05,Estonia,Pfizer/BioNTech,1037418
2021-11-05,Finland,Johnson&Johnson,0
2021-11-05,Finland,Moderna,897208
2021-11-05,Finland,Oxford/AstraZeneca,553432
2021-11-05,Finland,Pfizer/BioNTech,6311202
2021-11-05,France,Johnson&Johnson,1049131
2021-11-05,France,Moderna,11193698
2021-11-05,France,Oxford/AstraZeneca,7796415
2021-11-05,France,Pfizer/BioNTech,79910751
2021-11-05,Germany,Johnson&Johnson,3324652
2021-11-05,Germany,Moderna,9824342
2021-11-05,Germany,Oxford/AstraZeneca,12708289
2021-11-05,Germany,Pfizer/BioNTech,87244174
2021-11-05,Hungary,Johnson&Johnson,220792
2021-11-05,Hungary,Moderna,781452
2021-11-05,Hungary,Oxford/AstraZeneca,1248464
2021-11-05,Hungary,Pfizer/BioNTech,6043276
2021-11-05,Hungary,Sinopharm/Beijing,2147493
2021-11-05,Hungary,Sputnik V,1807313
2021-11-05,Ireland,Johnson&Johnson,236178
2021-11-05,Ireland,Moderna,569050
2021-11-05,Ireland,Oxford/AstraZeneca,1189768
2021-11-05,Ireland,Pfizer/BioNTech,5036855
2021-11-05,Italy,Johnson&Johnson,1492364
2021-11-05,Italy,Moderna,11439132
2021-11-05,Italy,Pfizer/BioNTech,65616212
2021-11-05,Latvia,Johnson&Johnson,242760
2021-11-05,Latvia,Moderna,307128
2021-11-05,Latvia,Oxford/AstraZeneca,262509
2021-11-05,Latvia,Pfizer/BioNTech,1219757
2021-11-05,Lithuania,Johnson&Johnson,227322
2021-11-05,Lithuania,Moderna,270156
2021-11-05,Lithuania,Oxford/AstraZeneca,535275
2021-11-05,Lithuania,Pfizer/BioNTech,2155675
2021-11-05,Luxembourg,Johnson&Johnson,39260
2021-11-05,Luxembourg,Moderna,70332
2021-11-05,Luxembourg,Oxford/AstraZeneca,105292
2021-11-05,Luxembourg,Pfizer/BioNTech,524119
2021-11-05,Netherlands,Johnson&Johnson,853500
2021-11-05,Netherlands,Moderna,1972012
2021-11-05,Netherlands,Oxford/AstraZeneca,2800815
2021-11-05,Netherlands,Pfizer/BioNTech,17152908
2021-11-05,Norway,Johnson&Johnson,5521
2021-11-05,Norway,Moderna,1544952
2021-11-05,Norway,Oxford/AstraZeneca,145810
2021-11-05,Norway,Pfizer/BioNTech,5938747
2021-11-05,Poland,Johnson&Johnson,2188116
2021-11-05,Poland,Moderna,3048674
2021-11-05,Poland,Oxford/AstraZeneca,5284083
2021-11-05,Poland,Pfizer/BioNTech,27155531
2021-11-05,Portugal,Johnson&Johnson,1125186
2021-11-05,Portugal,Moderna,2013856
2021-11-05,Portugal,Oxford/AstraZeneca,2215718
2021-11-05,Portugal,Pfizer/BioNTech,9851182
2021-11-05,Slovakia,Johnson&Johnson,104350
2021-11-05,Slovakia,Moderna,498073
2021-11-05,Slovakia,Pfizer/BioNTech,3338785
2021-11-05,Slovenia,Johnson&Johnson,136258
2021-11-05,Slovenia,Moderna,199218
2021-11-05,Slovenia,Oxford/AstraZeneca,326890
2021-11-05,Slovenia,Pfizer/BioNTech,1542610
2021-11-05,South Korea,Johnson&Johnson,1490179
2021-11-05,South Korea,Moderna,12405720
2021-11-05,South Korea,Oxford/AstraZeneca,22114842
2021-11-05,South Korea,Pfizer/BioNTech,43583464
2021-11-05,Spain,Johnson&Johnson,1975543
2021-11-05,Spain,Moderna,8413194
2021-11-05,Spain,Oxford/AstraZeneca,9786530
2021-11-05,Spain,Pfizer/BioNTech,46272512
2021-11-05,Sweden,Moderna,1855316
2021-11-05,Sweden,Oxford/AstraZeneca,1334578
2021-11-05,Sweden,Pfizer/BioNTech,10879843
2021-11-05,Switzerland,Johnson&Johnson,24558
2021-11-05,Switzerland,Moderna,7290658
2021-11-05,Switzerland,Pfizer/BioNTech,3831651
2021-11-05,United States,Johnson&Johnson,15827858
2021-11-05,United States,Moderna,161885137
2021-11-05,United States,Pfizer/BioNTech,249839661
