Date,Country,Vaccine,NumberOfVaccinated
2021-11-04,Chile,CanSino,571901
2021-11-04,Chile,Oxford/AstraZeneca,531871
2021-11-04,Chile,Pfizer/BioNTech,7413209
2021-11-04,Chile,Sinovac,22872691
2021-11-04,Czechia,Johnson&Johnson,299336
2021-11-04,Czechia,Moderna,970433
2021-11-04,Czechia,Oxford/AstraZeneca,882546
2021-11-04,Czechia,Pfizer/BioNTech,10293471
2021-11-04,France,Johnson&Johnson,1048894
2021-11-04,France,Moderna,11175130
2021-11-04,France,Oxford/AstraZeneca,7796154
2021-11-04,France,Pfizer/BioNTech,79701014
2021-11-04,Germany,Johnson&Johnson,3320447
2021-11-04,Germany,Moderna,9816028
2021-11-04,Germany,Oxford/AstraZeneca,12708186
2021-11-04,Germany,Pfizer/BioNTech,87004048
2021-11-04,Italy,Johnson&Johnson,1492136
2021-11-04,Italy,Moderna,11416762
2021-11-04,Italy,Pfizer/BioNTech,65427819
2021-11-04,Latvia,Johnson&Johnson,240369
2021-11-04,Latvia,Moderna,302638
2021-11-04,Latvia,Pfizer/BioNTech,1209732
2021-11-04,South Korea,Johnson&Johnson,1489238
2021-11-04,South Korea,Moderna,12300303
2021-11-04,South Korea,Oxford/AstraZeneca,22110279
2021-11-04,South Korea,Pfizer/BioNTech,43399482
2021-11-04,Switzerland,Johnson&Johnson,23742
2021-11-04,Switzerland,Moderna,7281277
2021-11-04,Switzerland,Pfizer/BioNTech,3825443
2021-11-04,United States,Johnson&Johnson,15774846
2021-11-04,United States,Moderna,161206881
2021-11-04,United States,Pfizer/BioNTech,249302522
