tDate,Country,Vaccine,NumberOfVaccinated
2022-02-11,Austria,Johnson&Johnson,361653
2022-02-11,Austria,Moderna,1574251
2022-02-11,Austria,Oxford/AstraZeneca,1586534
2022-02-11,Austria,Pfizer/BioNTech,14375826
2022-02-11,Belgium,Johnson&Johnson,424107
2022-02-11,Belgium,Moderna,4216241
2022-02-11,Belgium,Oxford/AstraZeneca,2845619
2022-02-11,Belgium,Pfizer/BioNTech,17089561
2022-02-11,Chile,CanSino,574157
2022-02-11,Chile,Oxford/AstraZeneca,548690
2022-02-11,Chile,Pfizer/BioNTech,7818755
2022-02-11,Chile,Sinovac,25266235
2022-02-11,Czechia,Johnson&Johnson,411713
2022-02-11,Czechia,Moderna,1559729
2022-02-11,Czechia,Pfizer/BioNTech,14404771
2022-02-11,Estonia,Johnson&Johnson,77402
2022-02-11,Estonia,Moderna,227314
2022-02-11,Estonia,Oxford/AstraZeneca,237636
2022-02-11,Estonia,Pfizer/BioNTech,1462655
2022-02-11,Finland,Johnson&Johnson,0
2022-02-11,Finland,Moderna,1833197
2022-02-11,Finland,Oxford/AstraZeneca,548837
2022-02-11,Finland,Pfizer/BioNTech,8989062
2022-02-11,France,Johnson&Johnson,1082809
2022-02-11,France,Moderna,23145126
2022-02-11,France,Oxford/AstraZeneca,7854328
2022-02-11,France,Pfizer/BioNTech,107055380
2022-02-11,Germany,Johnson&Johnson,3619314
2022-02-11,Germany,Moderna,28840919
2022-02-11,Germany,Oxford/AstraZeneca,12753149
2022-02-11,Germany,Pfizer/BioNTech,122757039
2022-02-11,Hungary,Johnson&Johnson,329920
2022-02-11,Hungary,Moderna,1040527
2022-02-11,Hungary,Oxford/AstraZeneca,1252289
2022-02-11,Hungary,Pfizer/BioNTech,9201422
2022-02-11,Hungary,Sinopharm/Beijing,2289625
2022-02-11,Iceland,Johnson&Johnson,78
2022-02-11,Iceland,Moderna,6005
2022-02-11,Iceland,Oxford/AstraZeneca,1
2022-02-11,Iceland,Pfizer/BioNTech,70816
2022-02-11,Ireland,Johnson&Johnson,237771
2022-02-11,Ireland,Moderna,1175483
2022-02-11,Ireland,Oxford/AstraZeneca,1193420
2022-02-11,Ireland,Pfizer/BioNTech,7810860
2022-02-11,Italy,Johnson&Johnson,1506350
2022-02-11,Italy,Moderna,32269179
2022-02-11,Italy,Pfizer/BioNTech,85821617
2022-02-11,Latvia,Johnson&Johnson,291681
2022-02-11,Latvia,Moderna,695231
2022-02-11,Latvia,Oxford/AstraZeneca,262658
2022-02-11,Latvia,Pfizer/BioNTech,1578241
2022-02-11,Lithuania,Johnson&Johnson,293871
2022-02-11,Lithuania,Moderna,326733
2022-02-11,Lithuania,Oxford/AstraZeneca,536489
2022-02-11,Lithuania,Pfizer/BioNTech,3269105
2022-02-11,Luxembourg,Johnson&Johnson,40950
2022-02-11,Luxembourg,Moderna,191934
2022-02-11,Luxembourg,Oxford/AstraZeneca,105266
2022-02-11,Luxembourg,Pfizer/BioNTech,645078
2022-02-11,Netherlands,Johnson&Johnson,868302
2022-02-11,Netherlands,Moderna,6360566
2022-02-11,Netherlands,Oxford/AstraZeneca,2800813
2022-02-11,Netherlands,Pfizer/BioNTech,23742972
2022-02-11,Norway,Johnson&Johnson,6947
2022-02-11,Norway,Moderna,2245847
2022-02-11,Norway,Oxford/AstraZeneca,147240
2022-02-11,Norway,Pfizer/BioNTech,8765191
2022-02-11,Poland,Johnson&Johnson,2651665
2022-02-11,Poland,Moderna,3598964
2022-02-11,Poland,Oxford/AstraZeneca,5288885
2022-02-11,Poland,Pfizer/BioNTech,37779265
2022-02-11,Portugal,Johnson&Johnson,1131875
2022-02-11,Portugal,Moderna,3454244
2022-02-11,Portugal,Oxford/AstraZeneca,2239149
2022-02-11,Portugal,Pfizer/BioNTech,14737360
2022-02-11,Slovakia,Johnson&Johnson,182088
2022-02-11,Slovakia,Moderna,668985
2022-02-11,Slovakia,Pfizer/BioNTech,5036204
2022-02-11,Slovenia,Moderna,237433
2022-02-11,Slovenia,Pfizer/BioNTech,2246753
2022-02-11,South Korea,Johnson&Johnson,1540196
2022-02-11,South Korea,Moderna,23233552
2022-02-11,South Korea,Oxford/AstraZeneca,20308363
2022-02-11,South Korea,Pfizer/BioNTech,71467736
2022-02-11,Spain,Johnson&Johnson,1982254
2022-02-11,Spain,Moderna,22834342
2022-02-11,Spain,Oxford/AstraZeneca,9792124
2022-02-11,Spain,Pfizer/BioNTech,61554796
2022-02-11,Sweden,Moderna,3289860
2022-02-11,Sweden,Oxford/AstraZeneca,1328827
2022-02-11,Sweden,Pfizer/BioNTech,14347704
2022-02-11,Switzerland,Johnson&Johnson,59032
2022-02-11,Switzerland,Moderna,9691750
2022-02-11,Switzerland,Pfizer/BioNTech,5704810
2022-02-11,United States,Johnson&Johnson,18291136
2022-02-11,United States,Moderna,206210837
2022-02-11,United States,Pfizer/BioNTech,320993225
