tDate,Country,Vaccine,NumberOfVaccinated
2022-09-11,Czechia,Moderna,1626868
2022-09-11,Czechia,Pfizer/BioNTech,15016870
2022-09-11,Germany,Johnson&Johnson,3750610
2022-09-11,Germany,Moderna,31477651
2022-09-11,Germany,Novavax,143257
2022-09-11,Germany,Pfizer/BioNTech,136761222
2022-09-11,Italy,Pfizer/BioNTech,92534872
2022-09-11,Japan,Moderna,76958023
2022-09-11,Japan,Novavax,190892
2022-09-11,Japan,Pfizer/BioNTech,242329108
2022-09-11,South Korea,Novavax,805410
2022-09-11,South Korea,Pfizer/BioNTech,81067090
