Date,Country,Vaccine,NumberOfVaccinated
2021-02-16,Austria,Johnson&Johnson,0
2021-02-16,Austria,Moderna,14002
2021-02-16,Austria,Oxford/AstraZeneca,43416
2021-02-16,Austria,Pfizer/BioNTech,517641
2021-02-16,Belgium,Moderna,29844
2021-02-16,Belgium,Oxford/AstraZeneca,10504
2021-02-16,Belgium,Pfizer/BioNTech,695159
2021-02-16,Chile,Pfizer/BioNTech,113406
2021-02-16,Chile,Sinovac,2298947
2021-02-16,Czechia,Moderna,25974
2021-02-16,Czechia,Oxford/AstraZeneca,3190
2021-02-16,Czechia,Pfizer/BioNTech,467144
2021-02-16,Denmark,Moderna,14895
2021-02-16,Denmark,Oxford/AstraZeneca,40347
2021-02-16,Denmark,Pfizer/BioNTech,440503
2021-02-16,Estonia,Moderna,546
2021-02-16,Estonia,Oxford/AstraZeneca,453
2021-02-16,Estonia,Pfizer/BioNTech,53636
2021-02-16,Finland,Johnson&Johnson,0
2021-02-16,Finland,Moderna,10513
2021-02-16,Finland,Oxford/AstraZeneca,24195
2021-02-16,Finland,Pfizer/BioNTech,335560
2021-02-16,France,Moderna,130990
2021-02-16,France,Oxford/AstraZeneca,73266
2021-02-16,France,Pfizer/BioNTech,3083605
2021-02-16,Germany,Johnson&Johnson,10
2021-02-16,Germany,Moderna,121693
2021-02-16,Germany,Oxford/AstraZeneca,95091
2021-02-16,Germany,Pfizer/BioNTech,4330487
2021-02-16,Hungary,Moderna,21327
2021-02-16,Hungary,Oxford/AstraZeneca,44030
2021-02-16,Hungary,Pfizer/BioNTech,580777
2021-02-16,Hungary,Sinopharm/Beijing,0
2021-02-16,Hungary,Sputnik V,18646
2021-02-16,Iceland,Johnson&Johnson,0
2021-02-16,Iceland,Moderna,2584
2021-02-16,Iceland,Oxford/AstraZeneca,1254
2021-02-16,Iceland,Pfizer/BioNTech,17803
2021-02-16,Ireland,Moderna,5568
2021-02-16,Ireland,Oxford/AstraZeneca,38143
2021-02-16,Ireland,Pfizer/BioNTech,322941
2021-02-16,Italy,Moderna,62499
2021-02-16,Italy,Oxford/AstraZeneca,36351
2021-02-16,Italy,Pfizer/BioNTech,3097324
2021-02-16,Latvia,Moderna,3102
2021-02-16,Latvia,Oxford/AstraZeneca,4767
2021-02-16,Latvia,Pfizer/BioNTech,31893
2021-02-16,Lithuania,Moderna,7003
2021-02-16,Lithuania,Oxford/AstraZeneca,9638
2021-02-16,Lithuania,Pfizer/BioNTech,143332
2021-02-16,Luxembourg,Moderna,1898
2021-02-16,Luxembourg,Oxford/AstraZeneca,5005
2021-02-16,Luxembourg,Pfizer/BioNTech,24075
2021-02-16,Netherlands,Johnson&Johnson,0
2021-02-16,Netherlands,Moderna,37207
2021-02-16,Netherlands,Oxford/AstraZeneca,69594
2021-02-16,Netherlands,Pfizer/BioNTech,936124
2021-02-16,Poland,Johnson&Johnson,0
2021-02-16,Poland,Moderna,71482
2021-02-16,Poland,Oxford/AstraZeneca,129274
2021-02-16,Poland,Pfizer/BioNTech,2572887
2021-02-16,Portugal,Moderna,24735
2021-02-16,Portugal,Oxford/AstraZeneca,51344
2021-02-16,Portugal,Pfizer/BioNTech,652347
2021-02-16,Slovakia,Moderna,17813
2021-02-16,Slovakia,Oxford/AstraZeneca,27911
2021-02-16,Slovakia,Pfizer/BioNTech,327102
2021-02-16,Slovenia,Moderna,4525
2021-02-16,Slovenia,Oxford/AstraZeneca,6144
2021-02-16,Slovenia,Pfizer/BioNTech,137794
2021-02-16,Spain,Johnson&Johnson,0
2021-02-16,Spain,Moderna,138147
2021-02-16,Spain,Oxford/AstraZeneca,132073
2021-02-16,Spain,Pfizer/BioNTech,2885052
2021-02-16,Sweden,Moderna,38723
2021-02-16,Sweden,Oxford/AstraZeneca,35921
2021-02-16,Sweden,Pfizer/BioNTech,620224
2021-02-16,Switzerland,Moderna,243721
2021-02-16,Switzerland,Pfizer/BioNTech,336760
2021-02-16,United States,Moderna,26738383
2021-02-16,United States,Pfizer/BioNTech,28374410
