Date,Country,Vaccine,NumberOfVaccinated
2021-03-18,Chile,Pfizer/BioNTech,663852
2021-03-18,Chile,Sinovac,7495863
2021-03-18,Czechia,Moderna,112513
2021-03-18,Czechia,Oxford/AstraZeneca,168209
2021-03-18,Czechia,Pfizer/BioNTech,1010347
2021-03-18,France,Moderna,451571
2021-03-18,France,Oxford/AstraZeneca,1479196
2021-03-18,France,Pfizer/BioNTech,6385605
2021-03-18,Germany,Johnson&Johnson,19
2021-03-18,Germany,Moderna,420550
2021-03-18,Germany,Oxford/AstraZeneca,1901466
2021-03-18,Germany,Pfizer/BioNTech,8184308
2021-03-18,Iceland,Johnson&Johnson,0
2021-03-18,Iceland,Moderna,4625
2021-03-18,Iceland,Oxford/AstraZeneca,9312
2021-03-18,Iceland,Pfizer/BioNTech,38755
2021-03-18,Italy,Moderna,328381
2021-03-18,Italy,Oxford/AstraZeneca,1206867
2021-03-18,Italy,Pfizer/BioNTech,5973766
2021-03-18,Latvia,Moderna,9966
2021-03-18,Latvia,Pfizer/BioNTech,35645
2021-03-18,Lithuania,Moderna,23650
2021-03-18,Lithuania,Oxford/AstraZeneca,78793
2021-03-18,Lithuania,Pfizer/BioNTech,291239
2021-03-18,Switzerland,Moderna,581656
2021-03-18,Switzerland,Pfizer/BioNTech,634679
2021-03-18,United States,Johnson&Johnson,1911052
2021-03-18,United States,Moderna,55811286
2021-03-18,United States,Pfizer/BioNTech,57876875
