tDate,Country,Vaccine,NumberOfVaccinated
2022-07-29,Chile,Pfizer/BioNTech,8042597
2022-07-29,Chile,Sinovac,25910555
2022-07-29,Czechia,Johnson&Johnson,413334
2022-07-29,Czechia,Moderna,1609653
2022-07-29,Czechia,Novavax,9323
2022-07-29,Czechia,Pfizer/BioNTech,14840515
2022-07-29,France,Moderna,23882305
2022-07-29,France,Novavax,29218
2022-07-29,France,Pfizer/BioNTech,115641421
2022-07-29,Germany,Johnson&Johnson,3749198
2022-07-29,Germany,Moderna,31362626
2022-07-29,Germany,Novavax,135638
2022-07-29,Germany,Oxford/AstraZeneca,12794743
2022-07-29,Germany,Pfizer/BioNTech,135869311
2022-07-29,Italy,Moderna,34217892
2022-07-29,Italy,Novavax,42628
2022-07-29,Italy,Pfizer/BioNTech,91641313
2022-07-29,Japan,Moderna,68918327
2022-07-29,Japan,Novavax,87907
2022-07-29,Japan,Oxford/AstraZeneca,117577
2022-07-29,Japan,Pfizer/BioNTech,228293322
2022-07-29,South Korea,Johnson&Johnson,1543892
2022-07-29,South Korea,Moderna,24899787
2022-07-29,South Korea,Novavax,676719
2022-07-29,South Korea,Pfizer/BioNTech,79631763
2022-07-29,Switzerland,Johnson&Johnson,61969
2022-07-29,Switzerland,Moderna,9874819
2022-07-29,Switzerland,Novavax,81
2022-07-29,Switzerland,Pfizer/BioNTech,5934972
