tDate,Country,Vaccine,NumberOfVaccinated
2022-07-28,Chile,Pfizer/BioNTech,8041048
2022-07-28,Chile,Sinovac,25908232
2022-07-28,Czechia,Johnson&Johnson,413313
2022-07-28,Czechia,Moderna,1609020
2022-07-28,Czechia,Novavax,9249
2022-07-28,Czechia,Pfizer/BioNTech,14831765
2022-07-28,France,Johnson&Johnson,1088809
2022-07-28,France,Moderna,23878706
2022-07-28,France,Novavax,29059
2022-07-28,France,Pfizer/BioNTech,115563765
2022-07-28,Germany,Johnson&Johnson,3749171
2022-07-28,Germany,Moderna,31357751
2022-07-28,Germany,Novavax,135188
2022-07-28,Germany,Pfizer/BioNTech,135833206
2022-07-28,Italy,Moderna,34216823
2022-07-28,Italy,Novavax,42621
2022-07-28,Italy,Pfizer/BioNTech,91572906
2022-07-28,South Korea,Johnson&Johnson,1543871
2022-07-28,South Korea,Moderna,24886925
2022-07-28,South Korea,Novavax,668395
2022-07-28,South Korea,Pfizer/BioNTech,79543159
