Date,Country,Vaccine,NumberOfVaccinated
2021-02-02,Austria,Johnson&Johnson,0
2021-02-02,Austria,Moderna,5825
2021-02-02,Austria,Oxford/AstraZeneca,1
2021-02-02,Austria,Pfizer/BioNTech,351575
2021-02-02,Belgium,Moderna,15693
2021-02-02,Belgium,Oxford/AstraZeneca,0
2021-02-02,Belgium,Pfizer/BioNTech,460072
2021-02-02,Chile,Pfizer/BioNTech,67417
2021-02-02,Chile,Sinovac,13181
2021-02-02,Czechia,Moderna,7873
2021-02-02,Czechia,Pfizer/BioNTech,297749
2021-02-02,Denmark,Moderna,6078
2021-02-02,Denmark,Pfizer/BioNTech,329767
2021-02-02,Estonia,Moderna,57
2021-02-02,Estonia,Pfizer/BioNTech,36172
2021-02-02,Finland,Johnson&Johnson,0
2021-02-02,Finland,Moderna,4647
2021-02-02,Finland,Oxford/AstraZeneca,290
2021-02-02,Finland,Pfizer/BioNTech,225328
2021-02-02,France,Moderna,50799
2021-02-02,France,Pfizer/BioNTech,1815600
2021-02-02,Germany,Johnson&Johnson,0
2021-02-02,Germany,Moderna,53132
2021-02-02,Germany,Oxford/AstraZeneca,137
2021-02-02,Germany,Pfizer/BioNTech,2772314
2021-02-02,Hungary,Moderna,14581
2021-02-02,Hungary,Oxford/AstraZeneca,1
2021-02-02,Hungary,Pfizer/BioNTech,384126
2021-02-02,Hungary,Sputnik V,0
2021-02-02,Iceland,Johnson&Johnson,0
2021-02-02,Iceland,Moderna,1264
2021-02-02,Iceland,Oxford/AstraZeneca,2
2021-02-02,Iceland,Pfizer/BioNTech,15779
2021-02-02,Ireland,Moderna,1926
2021-02-02,Ireland,Oxford/AstraZeneca,7
2021-02-02,Ireland,Pfizer/BioNTech,248967
2021-02-02,Italy,Moderna,21155
2021-02-02,Italy,Oxford/AstraZeneca,32
2021-02-02,Italy,Pfizer/BioNTech,2171087
2021-02-02,Latvia,Moderna,1322
2021-02-02,Latvia,Oxford/AstraZeneca,1
2021-02-02,Latvia,Pfizer/BioNTech,25509
2021-02-02,Lithuania,Moderna,2696
2021-02-02,Lithuania,Oxford/AstraZeneca,2
2021-02-02,Lithuania,Pfizer/BioNTech,98723
2021-02-02,Luxembourg,Moderna,1208
2021-02-02,Luxembourg,Oxford/AstraZeneca,0
2021-02-02,Luxembourg,Pfizer/BioNTech,16422
2021-02-02,Netherlands,Johnson&Johnson,0
2021-02-02,Netherlands,Moderna,14873
2021-02-02,Netherlands,Oxford/AstraZeneca,0
2021-02-02,Netherlands,Pfizer/BioNTech,558946
2021-02-02,Poland,Johnson&Johnson,0
2021-02-02,Poland,Moderna,9188
2021-02-02,Poland,Oxford/AstraZeneca,5
2021-02-02,Poland,Pfizer/BioNTech,1691765
2021-02-02,Portugal,Johnson&Johnson,1
2021-02-02,Portugal,Moderna,10473
2021-02-02,Portugal,Oxford/AstraZeneca,46
2021-02-02,Portugal,Pfizer/BioNTech,425520
2021-02-02,Slovakia,Moderna,1669
2021-02-02,Slovakia,Oxford/AstraZeneca,0
2021-02-02,Slovakia,Pfizer/BioNTech,215262
2021-02-02,Slovenia,Moderna,934
2021-02-02,Slovenia,Pfizer/BioNTech,100609
2021-02-02,Spain,Johnson&Johnson,0
2021-02-02,Spain,Moderna,49574
2021-02-02,Spain,Oxford/AstraZeneca,0
2021-02-02,Spain,Pfizer/BioNTech,2107704
2021-02-02,Sweden,Moderna,12340
2021-02-02,Sweden,Oxford/AstraZeneca,0
2021-02-02,Sweden,Pfizer/BioNTech,417053
2021-02-02,United States,Moderna,15006565
2021-02-02,United States,Pfizer/BioNTech,17672866
