tDate,Country,Vaccine,NumberOfVaccinated
2023-01-08,Czechia,Pfizer/BioNTech,15641785
2023-01-08,France,Johnson&Johnson,1090515
2023-01-08,France,Moderna,24105249
2023-01-08,France,Novavax,37166
2023-01-08,France,Pfizer/BioNTech,120545289
2023-01-08,France,Sanofi/GSK,700
2023-01-08,Germany,Johnson&Johnson,3757644
2023-01-08,Germany,Novavax,157343
2023-01-08,Germany,Pfizer/BioNTech,137985575
2023-01-08,Italy,Moderna,34292480
2023-01-08,Italy,Pfizer/BioNTech,95436447
2023-01-08,Japan,Moderna,82825317
2023-01-08,Japan,Novavax,281173
2023-01-08,Japan,Pfizer/BioNTech,289568819
2023-01-08,South Korea,Novavax,252105
2023-01-08,South Korea,Pfizer/BioNTech,52305869
