tDate,Country,Vaccine,NumberOfVaccinated
2021-01-13,Chile,Pfizer/BioNTech,11732
2021-01-13,Czechia,Pfizer/BioNTech,86405
2021-01-13,France,Pfizer/BioNTech,264166
2021-01-13,Germany,Johnson&Johnson,0
2021-01-13,Germany,Moderna,1296
2021-01-13,Germany,Oxford/AstraZeneca,8
2021-01-13,Germany,Pfizer/BioNTech,936404
2021-01-13,Iceland,Johnson&Johnson,0
2021-01-13,Iceland,Moderna,501
2021-01-13,Iceland,Oxford/AstraZeneca,0
2021-01-13,Iceland,Pfizer/BioNTech,4947
2021-01-13,Italy,Moderna,3
2021-01-13,Italy,Pfizer/BioNTech,930775
2021-01-13,Latvia,Moderna,131
2021-01-13,Latvia,Pfizer/BioNTech,11358
2021-01-13,Lithuania,Moderna,163
2021-01-13,Lithuania,Pfizer/BioNTech,33936
2021-01-13,United States,Moderna,4249795
2021-01-13,United States,Pfizer/BioNTech,6025872
