tDate,Country,Vaccine,NumberOfVaccinated
2021-08-12,Chile,CanSino,509552
2021-08-12,Chile,Oxford/AstraZeneca,471255
2021-08-12,Chile,Pfizer/BioNTech,6762790
2021-08-12,Chile,Sinovac,18931388
2021-08-12,Czechia,Johnson&Johnson,169085
2021-08-12,Czechia,Moderna,873131
2021-08-12,Czechia,Oxford/AstraZeneca,871045
2021-08-12,Czechia,Pfizer/BioNTech,8982836
2021-08-12,France,Johnson&Johnson,949198
2021-08-12,France,Moderna,7872481
2021-08-12,France,Oxford/AstraZeneca,7751583
2021-08-12,France,Pfizer/BioNTech,63297125
2021-08-12,Germany,Johnson&Johnson,2572812
2021-08-12,Germany,Moderna,8931818
2021-08-12,Germany,Oxford/AstraZeneca,12578395
2021-08-12,Germany,Pfizer/BioNTech,72868668
2021-08-12,Iceland,Johnson&Johnson,53447
2021-08-12,Iceland,Moderna,45710
2021-08-12,Iceland,Oxford/AstraZeneca,115329
2021-08-12,Iceland,Pfizer/BioNTech,272198
2021-08-12,Italy,Johnson&Johnson,1392888
2021-08-12,Italy,Moderna,8054079
2021-08-12,Italy,Oxford/AstraZeneca,11963251
2021-08-12,Italy,Pfizer/BioNTech,51927567
2021-08-12,Latvia,Johnson&Johnson,107464
2021-08-12,Latvia,Moderna,225057
2021-08-12,Latvia,Oxford/AstraZeneca,293824
2021-08-12,Latvia,Pfizer/BioNTech,787951
2021-08-12,Lithuania,Johnson&Johnson,266538
2021-08-12,Lithuania,Moderna,233046
2021-08-12,Lithuania,Oxford/AstraZeneca,525583
2021-08-12,Lithuania,Pfizer/BioNTech,1863866
2021-08-12,South Korea,Johnson&Johnson,1129778
2021-08-12,South Korea,Moderna,1001283
2021-08-12,South Korea,Oxford/AstraZeneca,13307358
2021-08-12,South Korea,Pfizer/BioNTech,14351911
2021-08-12,Switzerland,Moderna,6132653
2021-08-12,Switzerland,Pfizer/BioNTech,3086695
2021-08-12,United States,Johnson&Johnson,13784136
2021-08-12,United States,Moderna,141011089
2021-08-12,United States,Pfizer/BioNTech,198736053
