Date,Country,Vaccine,NumberOfVaccinated
2021-01-06,Chile,Pfizer/BioNTech,10702
2021-01-06,Czechia,Pfizer/BioNTech,28105
2021-01-06,France,Pfizer/BioNTech,18853
2021-01-06,Germany,Johnson&Johnson,0
2021-01-06,Germany,Moderna,14
2021-01-06,Germany,Oxford/AstraZeneca,5
2021-01-06,Germany,Pfizer/BioNTech,459422
2021-01-06,Iceland,Johnson&Johnson,0
2021-01-06,Iceland,Moderna,1
2021-01-06,Iceland,Oxford/AstraZeneca,0
2021-01-06,Iceland,Pfizer/BioNTech,4947
2021-01-06,Italy,Pfizer/BioNTech,338062
2021-01-06,Latvia,Pfizer/BioNTech,4625
2021-01-06,Lithuania,Pfizer/BioNTech,13870
