tDate,Country,Vaccine,NumberOfVaccinated
2023-02-07,Czechia,Johnson&Johnson,414243
2023-02-07,Czechia,Moderna,1641634
2023-02-07,Czechia,Pfizer/BioNTech,15662433
2023-02-07,Germany,Johnson&Johnson,3761137
2023-02-07,Germany,Moderna,31584891
2023-02-07,Germany,Novavax,159750
2023-02-07,Germany,Pfizer/BioNTech,138183504
2023-02-07,Germany,Valneva,6796
2023-02-07,Italy,Moderna,34317127
2023-02-07,Italy,Novavax,42980
2023-02-07,Italy,Pfizer/BioNTech,95680084
2023-02-07,Japan,Moderna,83198128
2023-02-07,Japan,Novavax,295487
2023-02-07,Japan,Pfizer/BioNTech,296711987
2023-02-07,South Korea,Johnson&Johnson,1516134
2023-02-07,South Korea,Novavax,256763
2023-02-07,South Korea,Pfizer/BioNTech,52282797
2023-02-07,South Korea,SKYCovione,515
