tDate,Country,Vaccine,NumberOfVaccinated
2022-03-04,Austria,Johnson&Johnson,363092
2022-03-04,Austria,Moderna,1582264
2022-03-04,Austria,Novavax,1762
2022-03-04,Austria,Oxford/AstraZeneca,1587789
2022-03-04,Austria,Pfizer/BioNTech,14521686
2022-03-04,Belgium,Johnson&Johnson,425123
2022-03-04,Belgium,Moderna,4260241
2022-03-04,Belgium,Novavax,2
2022-03-04,Belgium,Oxford/AstraZeneca,2846397
2022-03-04,Belgium,Pfizer/BioNTech,17351372
2022-03-04,Chile,CanSino,574326
2022-03-04,Chile,Oxford/AstraZeneca,549199
2022-03-04,Chile,Pfizer/BioNTech,7879070
2022-03-04,Chile,Sinovac,25515173
2022-03-04,Czechia,Johnson&Johnson,412316
2022-03-04,Czechia,Moderna,1576277
2022-03-04,Czechia,Novavax,248
2022-03-04,Czechia,Pfizer/BioNTech,14538429
2022-03-04,Estonia,Johnson&Johnson,77674
2022-03-04,Estonia,Moderna,230593
2022-03-04,Estonia,Novavax,0
2022-03-04,Estonia,Oxford/AstraZeneca,237671
2022-03-04,Estonia,Pfizer/BioNTech,1479449
2022-03-04,Finland,Johnson&Johnson,0
2022-03-04,Finland,Moderna,1849545
2022-03-04,Finland,Oxford/AstraZeneca,548978
2022-03-04,Finland,Pfizer/BioNTech,9083734
2022-03-04,France,Johnson&Johnson,1085038
2022-03-04,France,Moderna,23463439
2022-03-04,France,Oxford/AstraZeneca,7856910
2022-03-04,France,Pfizer/BioNTech,108637851
2022-03-04,Germany,Johnson&Johnson,3624492
2022-03-04,Germany,Moderna,29222740
2022-03-04,Germany,Novavax,21111
2022-03-04,Germany,Oxford/AstraZeneca,12755310
2022-03-04,Germany,Pfizer/BioNTech,124831218
2022-03-04,Hungary,Johnson&Johnson,332787
2022-03-04,Hungary,Moderna,1045282
2022-03-04,Hungary,Oxford/AstraZeneca,1252349
2022-03-04,Hungary,Pfizer/BioNTech,9268761
2022-03-04,Hungary,Sinopharm/Beijing,2297338
2022-03-04,Iceland,Johnson&Johnson,84
2022-03-04,Iceland,Moderna,6490
2022-03-04,Iceland,Oxford/AstraZeneca,1
2022-03-04,Iceland,Pfizer/BioNTech,75298
2022-03-04,Ireland,Johnson&Johnson,237895
2022-03-04,Ireland,Moderna,1176282
2022-03-04,Ireland,Pfizer/BioNTech,7986550
2022-03-04,Italy,Johnson&Johnson,1506985
2022-03-04,Italy,Moderna,33217855
2022-03-04,Italy,Novavax,7947
2022-03-04,Italy,Pfizer/BioNTech,87583614
2022-03-04,Latvia,Johnson&Johnson,292613
2022-03-04,Latvia,Moderna,705962
2022-03-04,Latvia,Novavax,44
2022-03-04,Latvia,Pfizer/BioNTech,1597668
2022-03-04,Netherlands,Johnson&Johnson,868399
2022-03-04,Netherlands,Moderna,6361134
2022-03-04,Netherlands,Oxford/AstraZeneca,2800822
2022-03-04,Netherlands,Pfizer/BioNTech,23902155
2022-03-04,Poland,Johnson&Johnson,2672589
2022-03-04,Poland,Moderna,3622259
2022-03-04,Poland,Oxford/AstraZeneca,5288959
2022-03-04,Poland,Pfizer/BioNTech,38315189
2022-03-04,Portugal,Moderna,3547553
2022-03-04,Portugal,Novavax,0
2022-03-04,Portugal,Pfizer/BioNTech,14919467
2022-03-04,Slovakia,Johnson&Johnson,182817
2022-03-04,Slovakia,Moderna,671050
2022-03-04,Slovakia,Pfizer/BioNTech,5065073
2022-03-04,Slovenia,Moderna,236558
2022-03-04,Slovenia,Novavax,2
2022-03-04,Slovenia,Oxford/AstraZeneca,324997
2022-03-04,Slovenia,Pfizer/BioNTech,2241948
2022-03-04,South Korea,Johnson&Johnson,1541783
2022-03-04,South Korea,Moderna,23994390
2022-03-04,South Korea,Novavax,70458
2022-03-04,South Korea,Oxford/AstraZeneca,20312619
2022-03-04,South Korea,Pfizer/BioNTech,73418695
2022-03-04,Spain,Johnson&Johnson,1981663
2022-03-04,Spain,Moderna,23303464
2022-03-04,Spain,Oxford/AstraZeneca,9796475
2022-03-04,Spain,Pfizer/BioNTech,64212172
2022-03-04,Sweden,Moderna,3418939
2022-03-04,Sweden,Oxford/AstraZeneca,1328637
2022-03-04,Sweden,Pfizer/BioNTech,14610330
2022-03-04,Switzerland,Johnson&Johnson,59576
2022-03-04,Switzerland,Moderna,9736497
2022-03-04,Switzerland,Pfizer/BioNTech,5768493
2022-03-04,United States,Johnson&Johnson,18469549
2022-03-04,United States,Moderna,208751907
2022-03-04,United States,Pfizer/BioNTech,326804328
