tDate,Country,Vaccine,NumberOfVaccinated
2021-06-18,Austria,Johnson&Johnson,91248
2021-06-18,Austria,Moderna,668484
2021-06-18,Austria,Oxford/AstraZeneca,1182567
2021-06-18,Austria,Pfizer/BioNTech,4824876
2021-06-18,Belgium,Johnson&Johnson,184774
2021-06-18,Belgium,Moderna,774480
2021-06-18,Belgium,Oxford/AstraZeneca,1817984
2021-06-18,Belgium,Pfizer/BioNTech,6257829
2021-06-18,Chile,CanSino,218180
2021-06-18,Chile,Oxford/AstraZeneca,375968
2021-06-18,Chile,Pfizer/BioNTech,3942857
2021-06-18,Chile,Sinovac,16853984
2021-06-18,Czechia,Johnson&Johnson,78322
2021-06-18,Czechia,Moderna,625226
2021-06-18,Czechia,Oxford/AstraZeneca,673821
2021-06-18,Czechia,Pfizer/BioNTech,5774082
2021-06-18,Estonia,Johnson&Johnson,16900
2021-06-18,Estonia,Moderna,78794
2021-06-18,Estonia,Oxford/AstraZeneca,209039
2021-06-18,Estonia,Pfizer/BioNTech,551119
2021-06-18,Finland,Moderna,331139
2021-06-18,Finland,Oxford/AstraZeneca,421293
2021-06-18,Finland,Pfizer/BioNTech,2945167
2021-06-18,France,Johnson&Johnson,493478
2021-06-18,France,Moderna,4334079
2021-06-18,France,Oxford/AstraZeneca,6259682
2021-06-18,France,Pfizer/BioNTech,36648514
2021-06-18,Germany,Johnson&Johnson,1634070
2021-06-18,Germany,Moderna,5450596
2021-06-18,Germany,Oxford/AstraZeneca,10433507
2021-06-18,Germany,Pfizer/BioNTech,48385690
2021-06-18,Hungary,Johnson&Johnson,76383
2021-06-18,Hungary,Moderna,610927
2021-06-18,Hungary,Oxford/AstraZeneca,1008697
2021-06-18,Hungary,Pfizer/BioNTech,4018537
2021-06-18,Hungary,Sinopharm/Beijing,2028040
2021-06-18,Hungary,Sputnik V,1793525
2021-06-18,Iceland,Johnson&Johnson,38707
2021-06-18,Iceland,Moderna,34093
2021-06-18,Iceland,Oxford/AstraZeneca,81372
2021-06-18,Iceland,Pfizer/BioNTech,202457
2021-06-18,Ireland,Johnson&Johnson,71922
2021-06-18,Ireland,Moderna,293250
2021-06-18,Ireland,Oxford/AstraZeneca,744740
2021-06-18,Ireland,Pfizer/BioNTech,2324141
2021-06-18,Italy,Johnson&Johnson,1178761
2021-06-18,Italy,Moderna,4245852
2021-06-18,Italy,Oxford/AstraZeneca,8217364
2021-06-18,Italy,Pfizer/BioNTech,31468085
2021-06-18,Latvia,Johnson&Johnson,46062
2021-06-18,Latvia,Moderna,187613
2021-06-18,Latvia,Oxford/AstraZeneca,265314
2021-06-18,Latvia,Pfizer/BioNTech,562457
2021-06-18,Lithuania,Johnson&Johnson,83996
2021-06-18,Lithuania,Moderna,190822
2021-06-18,Lithuania,Oxford/AstraZeneca,396406
2021-06-18,Lithuania,Pfizer/BioNTech,1411542
2021-06-18,Luxembourg,Johnson&Johnson,17559
2021-06-18,Luxembourg,Moderna,41349
2021-06-18,Luxembourg,Oxford/AstraZeneca,89690
2021-06-18,Luxembourg,Pfizer/BioNTech,311827
2021-06-18,Netherlands,Johnson&Johnson,438795
2021-06-18,Netherlands,Moderna,990361
2021-06-18,Netherlands,Oxford/AstraZeneca,2411411
2021-06-18,Netherlands,Pfizer/BioNTech,9084078
2021-06-18,Poland,Johnson&Johnson,826452
2021-06-18,Poland,Moderna,2631446
2021-06-18,Poland,Oxford/AstraZeneca,4087567
2021-06-18,Poland,Pfizer/BioNTech,18460437
2021-06-18,Slovakia,Johnson&Johnson,0
2021-06-18,Slovakia,Moderna,327461
2021-06-18,Slovakia,Oxford/AstraZeneca,662751
2021-06-18,Slovakia,Pfizer/BioNTech,2112124
2021-06-18,Slovakia,Sputnik V,5619
2021-06-18,Spain,Johnson&Johnson,935057
2021-06-18,Spain,Moderna,3299796
2021-06-18,Spain,Oxford/AstraZeneca,5937618
2021-06-18,Spain,Pfizer/BioNTech,24526142
2021-06-18,Switzerland,Moderna,4068069
2021-06-18,Switzerland,Pfizer/BioNTech,2572978
2021-06-18,United States,Johnson&Johnson,11871036
2021-06-18,United States,Moderna,130656013
2021-06-18,United States,Pfizer/BioNTech,173280164
