tDate,Country,Vaccine,NumberOfVaccinated
2021-08-07,Chile,CanSino,508843
2021-08-07,Chile,Oxford/AstraZeneca,466350
2021-08-07,Chile,Pfizer/BioNTech,6558554
2021-08-07,Chile,Sinovac,18753191
2021-08-07,Czechia,Johnson&Johnson,158790
2021-08-07,Czechia,Moderna,866526
2021-08-07,Czechia,Oxford/AstraZeneca,865328
2021-08-07,Czechia,Pfizer/BioNTech,8782457
2021-08-07,France,Johnson&Johnson,919161
2021-08-07,France,Moderna,7598064
2021-08-07,France,Oxford/AstraZeneca,7737159
2021-08-07,France,Pfizer/BioNTech,61283606
2021-08-07,Germany,Johnson&Johnson,2513666
2021-08-07,Germany,Moderna,8735296
2021-08-07,Germany,Oxford/AstraZeneca,12548087
2021-08-07,Germany,Pfizer/BioNTech,71260197
2021-08-07,Italy,Johnson&Johnson,1375928
2021-08-07,Italy,Moderna,7682818
2021-08-07,Italy,Oxford/AstraZeneca,11868889
2021-08-07,Italy,Pfizer/BioNTech,50651195
2021-08-07,Latvia,Johnson&Johnson,105384
2021-08-07,Latvia,Moderna,223176
2021-08-07,Latvia,Oxford/AstraZeneca,293752
2021-08-07,Latvia,Pfizer/BioNTech,766901
2021-08-07,Lithuania,Johnson&Johnson,221236
2021-08-07,Lithuania,Moderna,229658
2021-08-07,Lithuania,Oxford/AstraZeneca,522718
2021-08-07,Lithuania,Pfizer/BioNTech,1816443
2021-08-07,Switzerland,Moderna,6069977
2021-08-07,Switzerland,Pfizer/BioNTech,3054876
2021-08-07,United States,Johnson&Johnson,13639573
2021-08-07,United States,Moderna,140189704
2021-08-07,United States,Pfizer/BioNTech,196477868
