tDate,Country,Vaccine,NumberOfVaccinated
2023-03-14,Czechia,Johnson&Johnson,413804
2023-03-14,Czechia,Moderna,1641368
2023-03-14,Czechia,Pfizer/BioNTech,15666313
2023-03-14,France,Moderna,24125616
2023-03-14,France,Novavax,39133
2023-03-14,France,Pfizer/BioNTech,121232793
2023-03-14,France,Sanofi/GSK,4126
2023-03-14,Germany,Johnson&Johnson,3761338
2023-03-14,Germany,Novavax,159969
2023-03-14,Germany,Pfizer/BioNTech,138197118
2023-03-14,Germany,Valneva,7314
2023-03-14,Italy,Moderna,34332326
2023-03-14,Italy,Novavax,42982
2023-03-14,Italy,Pfizer/BioNTech,95761358
2023-03-14,Italy,Sanofi/GSK,112
2023-03-14,South Korea,Johnson&Johnson,1516647
2023-03-14,South Korea,Novavax,260302
2023-03-14,South Korea,Pfizer/BioNTech,52259111
