tDate,Country,Vaccine,NumberOfVaccinated
2021-01-17,Chile,Pfizer/BioNTech,22167
2021-01-17,Czechia,Moderna,2399
2021-01-17,Czechia,Pfizer/BioNTech,119712
2021-01-17,France,Moderna,557
2021-01-17,France,Pfizer/BioNTech,441437
2021-01-17,Germany,Johnson&Johnson,0
2021-01-17,Germany,Moderna,19964
2021-01-17,Germany,Oxford/AstraZeneca,15
2021-01-17,Germany,Pfizer/BioNTech,1209899
2021-01-17,Iceland,Johnson&Johnson,0
2021-01-17,Iceland,Moderna,1262
2021-01-17,Iceland,Oxford/AstraZeneca,0
2021-01-17,Iceland,Pfizer/BioNTech,4947
2021-01-17,Italy,Moderna,2421
2021-01-17,Italy,Pfizer/BioNTech,1213754
2021-01-17,Latvia,Pfizer/BioNTech,15027
2021-01-17,Lithuania,Moderna,1043
2021-01-17,Lithuania,Pfizer/BioNTech,51294
