tDate,Country,Vaccine,NumberOfVaccinated
2022-02-01,Austria,Johnson&Johnson,359861
2022-02-01,Austria,Moderna,1556274
2022-02-01,Austria,Oxford/AstraZeneca,1584897
2022-02-01,Austria,Pfizer/BioNTech,13175379
2022-02-01,Belgium,Johnson&Johnson,415707
2022-02-01,Belgium,Moderna,4050474
2022-02-01,Belgium,Oxford/AstraZeneca,2844238
2022-02-01,Belgium,Pfizer/BioNTech,15229112
2022-02-01,Chile,CanSino,574097
2022-02-01,Chile,Oxford/AstraZeneca,548497
2022-02-01,Chile,Pfizer/BioNTech,7780303
2022-02-01,Chile,Sinovac,25119498
2022-02-01,Czechia,Johnson&Johnson,411169
2022-02-01,Czechia,Moderna,1543238
2022-02-01,Czechia,Pfizer/BioNTech,14241910
2022-02-01,Finland,Johnson&Johnson,0
2022-02-01,Finland,Moderna,1585299
2022-02-01,Finland,Oxford/AstraZeneca,541410
2022-02-01,Finland,Pfizer/BioNTech,8238572
2022-02-01,France,Johnson&Johnson,1080636
2022-02-01,France,Moderna,22637520
2022-02-01,France,Oxford/AstraZeneca,7852080
2022-02-01,France,Pfizer/BioNTech,105420059
2022-02-01,Germany,Johnson&Johnson,3613732
2022-02-01,Germany,Moderna,28340701
2022-02-01,Germany,Oxford/AstraZeneca,12751902
2022-02-01,Germany,Pfizer/BioNTech,120786411
2022-02-01,Hungary,Johnson&Johnson,326584
2022-02-01,Hungary,Moderna,1031687
2022-02-01,Hungary,Oxford/AstraZeneca,1252171
2022-02-01,Hungary,Pfizer/BioNTech,8276088
2022-02-01,Hungary,Sinopharm/Beijing,2282651
2022-02-01,Iceland,Johnson&Johnson,74
2022-02-01,Iceland,Moderna,5613
2022-02-01,Iceland,Oxford/AstraZeneca,1
2022-02-01,Iceland,Pfizer/BioNTech,57405
2022-02-01,Ireland,Johnson&Johnson,238274
2022-02-01,Ireland,Moderna,1155888
2022-02-01,Ireland,Pfizer/BioNTech,6956512
2022-02-01,Italy,Johnson&Johnson,1523966
2022-02-01,Italy,Moderna,31148626
2022-02-01,Italy,Pfizer/BioNTech,84200627
2022-02-01,Latvia,Johnson&Johnson,290623
2022-02-01,Latvia,Moderna,680761
2022-02-01,Latvia,Oxford/AstraZeneca,262578
2022-02-01,Latvia,Pfizer/BioNTech,1558184
2022-02-01,Lithuania,Johnson&Johnson,292745
2022-02-01,Lithuania,Moderna,322145
2022-02-01,Lithuania,Oxford/AstraZeneca,536305
2022-02-01,Lithuania,Pfizer/BioNTech,3089951
2022-02-01,Luxembourg,Johnson&Johnson,41414
2022-02-01,Luxembourg,Moderna,287095
2022-02-01,Luxembourg,Oxford/AstraZeneca,105270
2022-02-01,Luxembourg,Pfizer/BioNTech,686632
2022-02-01,Netherlands,Johnson&Johnson,867931
2022-02-01,Netherlands,Moderna,6354777
2022-02-01,Netherlands,Oxford/AstraZeneca,2800755
2022-02-01,Netherlands,Pfizer/BioNTech,21901151
2022-02-01,Poland,Johnson&Johnson,2636021
2022-02-01,Poland,Moderna,3579561
2022-02-01,Poland,Oxford/AstraZeneca,5288833
2022-02-01,Poland,Pfizer/BioNTech,37306251
2022-02-01,Portugal,Johnson&Johnson,1131053
2022-02-01,Portugal,Moderna,3233819
2022-02-01,Portugal,Pfizer/BioNTech,14349102
2022-02-01,Slovakia,Johnson&Johnson,179700
2022-02-01,Slovakia,Moderna,662954
2022-02-01,Slovakia,Pfizer/BioNTech,4865253
2022-02-01,South Korea,Johnson&Johnson,1538900
2022-02-01,South Korea,Moderna,22706709
2022-02-01,South Korea,Oxford/AstraZeneca,22228983
2022-02-01,South Korea,Pfizer/BioNTech,67926752
2022-02-01,Sweden,Moderna,3038015
2022-02-01,Sweden,Oxford/AstraZeneca,1335145
2022-02-01,Sweden,Pfizer/BioNTech,13991866
2022-02-01,Switzerland,Johnson&Johnson,58418
2022-02-01,Switzerland,Moderna,9634822
2022-02-01,Switzerland,Pfizer/BioNTech,5631991
2022-02-01,United States,Johnson&Johnson,18185440
2022-02-01,United States,Moderna,204454132
2022-02-01,United States,Pfizer/BioNTech,316805846
