tDate,Country,Vaccine,NumberOfVaccinated
2023-04-04,Czechia,Moderna,1641481
2023-04-04,Czechia,Pfizer/BioNTech,15668456
2023-04-04,France,Moderna,24128537
2023-04-04,France,Novavax,39406
2023-04-04,France,Pfizer/BioNTech,121275444
2023-04-04,France,Sanofi/GSK,4521
2023-04-04,Germany,Moderna,31586471
2023-04-04,Germany,Pfizer/BioNTech,138203201
2023-04-04,Italy,Moderna,34337347
2023-04-04,Italy,Pfizer/BioNTech,95776001
2023-04-04,Italy,Sanofi/GSK,126
2023-04-04,Japan,Moderna,83384421
2023-04-04,Japan,Novavax,312540
2023-04-04,Japan,Pfizer/BioNTech,299520755
2023-04-04,South Korea,Johnson&Johnson,1516643
2023-04-04,South Korea,Novavax,261863
2023-04-04,South Korea,Pfizer/BioNTech,52238538
