tDate,Country,Vaccine,NumberOfVaccinated
2022-02-18,Austria,Johnson&Johnson,362255
2022-02-18,Austria,Moderna,1577862
2022-02-18,Austria,Oxford/AstraZeneca,1587154
2022-02-18,Austria,Pfizer/BioNTech,14441498
2022-02-18,Belgium,Johnson&Johnson,424679
2022-02-18,Belgium,Moderna,4242910
2022-02-18,Belgium,Oxford/AstraZeneca,2845995
2022-02-18,Belgium,Pfizer/BioNTech,17230308
2022-02-18,Chile,CanSino,574201
2022-02-18,Chile,Oxford/AstraZeneca,548894
2022-02-18,Chile,Pfizer/BioNTech,7839313
2022-02-18,Chile,Sinovac,25344748
2022-02-18,Czechia,Johnson&Johnson,411998
2022-02-18,Czechia,Moderna,1567528
2022-02-18,Czechia,Pfizer/BioNTech,14466828
2022-02-18,Denmark,Johnson&Johnson,47075
2022-02-18,Denmark,Moderna,1697727
2022-02-18,Denmark,Oxford/AstraZeneca,155517
2022-02-18,Denmark,Pfizer/BioNTech,10235629
2022-02-18,Estonia,Johnson&Johnson,77496
2022-02-18,Estonia,Moderna,228493
2022-02-18,Estonia,Oxford/AstraZeneca,237654
2022-02-18,Estonia,Pfizer/BioNTech,1469209
2022-02-18,Finland,Johnson&Johnson,0
2022-02-18,Finland,Moderna,1842568
2022-02-18,Finland,Oxford/AstraZeneca,548975
2022-02-18,Finland,Pfizer/BioNTech,9033714
2022-02-18,France,Johnson&Johnson,1083717
2022-02-18,France,Moderna,23337662
2022-02-18,France,Oxford/AstraZeneca,7855371
2022-02-18,France,Pfizer/BioNTech,107789814
2022-02-18,Germany,Johnson&Johnson,3621508
2022-02-18,Germany,Moderna,29007740
2022-02-18,Germany,Oxford/AstraZeneca,12753754
2022-02-18,Germany,Pfizer/BioNTech,123604641
2022-02-18,Hungary,Johnson&Johnson,331220
2022-02-18,Hungary,Moderna,1042912
2022-02-18,Hungary,Oxford/AstraZeneca,1252324
2022-02-18,Hungary,Pfizer/BioNTech,9237004
2022-02-18,Hungary,Sinopharm/Beijing,2292919
2022-02-18,Iceland,Johnson&Johnson,78
2022-02-18,Iceland,Moderna,6097
2022-02-18,Iceland,Oxford/AstraZeneca,1
2022-02-18,Iceland,Pfizer/BioNTech,72648
2022-02-18,Ireland,Johnson&Johnson,237833
2022-02-18,Ireland,Moderna,1175779
2022-02-18,Ireland,Oxford/AstraZeneca,1193528
2022-02-18,Ireland,Pfizer/BioNTech,7871706
2022-02-18,Italy,Johnson&Johnson,1506730
2022-02-18,Italy,Moderna,32690781
2022-02-18,Italy,Pfizer/BioNTech,86608745
2022-02-18,Latvia,Johnson&Johnson,292098
2022-02-18,Latvia,Moderna,700095
2022-02-18,Latvia,Pfizer/BioNTech,1586160
2022-02-18,Lithuania,Johnson&Johnson,294106
2022-02-18,Lithuania,Moderna,327053
2022-02-18,Lithuania,Oxford/AstraZeneca,536490
2022-02-18,Lithuania,Pfizer/BioNTech,3274817
2022-02-18,Luxembourg,Johnson&Johnson,41488
2022-02-18,Luxembourg,Moderna,295687
2022-02-18,Luxembourg,Oxford/AstraZeneca,105277
2022-02-18,Luxembourg,Pfizer/BioNTech,693726
2022-02-18,Netherlands,Johnson&Johnson,868333
2022-02-18,Netherlands,Moderna,6360877
2022-02-18,Netherlands,Oxford/AstraZeneca,2800818
2022-02-18,Netherlands,Pfizer/BioNTech,23820089
2022-02-18,Poland,Johnson&Johnson,2659715
2022-02-18,Poland,Moderna,3608751
2022-02-18,Poland,Oxford/AstraZeneca,5288922
2022-02-18,Poland,Pfizer/BioNTech,38014324
2022-02-18,Portugal,Johnson&Johnson,1132285
2022-02-18,Portugal,Moderna,3518180
2022-02-18,Portugal,Pfizer/BioNTech,14860005
2022-02-18,Slovakia,Johnson&Johnson,182500
2022-02-18,Slovakia,Moderna,669955
2022-02-18,Slovakia,Pfizer/BioNTech,5051651
2022-02-18,Slovenia,Johnson&Johnson,136523
2022-02-18,Slovenia,Moderna,237910
2022-02-18,Slovenia,Pfizer/BioNTech,2256663
2022-02-18,South Korea,Johnson&Johnson,1541022
2022-02-18,South Korea,Moderna,23570590
2022-02-18,South Korea,Novavax,29832
2022-02-18,South Korea,Oxford/AstraZeneca,20310549
2022-02-18,South Korea,Pfizer/BioNTech,72309282
2022-02-18,Spain,Johnson&Johnson,1980492
2022-02-18,Spain,Moderna,23082893
2022-02-18,Spain,Oxford/AstraZeneca,9792205
2022-02-18,Spain,Pfizer/BioNTech,63790423
2022-02-18,Sweden,Moderna,3365378
2022-02-18,Sweden,Oxford/AstraZeneca,1328807
2022-02-18,Sweden,Pfizer/BioNTech,14466469
2022-02-18,Switzerland,Johnson&Johnson,59258
2022-02-18,Switzerland,Moderna,9714388
2022-02-18,Switzerland,Pfizer/BioNTech,5736258
2022-02-18,United States,Johnson&Johnson,18356283
2022-02-18,United States,Moderna,207245487
2022-02-18,United States,Pfizer/BioNTech,323324047
