Date,Country,Vaccine,NumberOfVaccinated
2021-03-15,Chile,Pfizer/BioNTech,506888
2021-03-15,Chile,Sinovac,6542226
2021-03-15,Czechia,Moderna,88465
2021-03-15,Czechia,Oxford/AstraZeneca,141252
2021-03-15,Czechia,Pfizer/BioNTech,914313
2021-03-15,France,Moderna,378782
2021-03-15,France,Oxford/AstraZeneca,1476414
2021-03-15,France,Pfizer/BioNTech,5885647
2021-03-15,Germany,Johnson&Johnson,19
2021-03-15,Germany,Moderna,373158
2021-03-15,Germany,Oxford/AstraZeneca,1896548
2021-03-15,Germany,Pfizer/BioNTech,7658519
2021-03-15,Iceland,Johnson&Johnson,0
2021-03-15,Iceland,Moderna,3907
2021-03-15,Iceland,Oxford/AstraZeneca,9310
2021-03-15,Iceland,Pfizer/BioNTech,33955
2021-03-15,Italy,Moderna,291909
2021-03-15,Italy,Oxford/AstraZeneca,1206521
2021-03-15,Italy,Pfizer/BioNTech,5542244
2021-03-15,Latvia,Moderna,9422
2021-03-15,Latvia,Oxford/AstraZeneca,56706
2021-03-15,Lithuania,Moderna,23211
2021-03-15,Lithuania,Oxford/AstraZeneca,75341
2021-03-15,Lithuania,Pfizer/BioNTech,265988
2021-03-15,Switzerland,Moderna,542962
2021-03-15,Switzerland,Pfizer/BioNTech,580640
2021-03-15,United States,Johnson&Johnson,1428465
2021-03-15,United States,Moderna,52883263
2021-03-15,United States,Pfizer/BioNTech,54643581
