tDate,Country,City,Temp,Humidity,Rain,Snow
2020-11-24,Australia,Canberra,17,78,3.4,0
2020-11-24,Austria,Vienna,6,76,0,0
2020-11-24,Belgium,Brussels,8,88,0,0
2020-11-24,Canada,Ottawa,-6,86,0,0
2020-11-24,Chile,Santiago,17,44,0,0
2020-11-24,China,Beijing,6,24,0,0
2020-11-24,Colombia,Bogota,16,84,13.8,0
2020-11-24,Costa Rica,SanJose,15,63,0,0
2020-11-24,Czechia,Prague,4,80,0,0
2020-11-24,Denmark,Copenhagen,7,84,0,0
2020-11-24,Estonia,Tallinn,4,78,2,4
2020-11-24,Finland,Helsinki,2,83,0,0
2020-11-24,France,Paris,9,81,0,0
2020-11-24,Germany,Berlin,5,83,0,0
2020-11-24,Greece,Athens,12,71,0,0
2020-11-24,Hungary,Budapest,7,77,0,0
2020-11-24,Iceland,Reykjavik,0,74,0,0
2020-11-24,Ireland,Dublin,9,86,9.7,0
2020-11-24,Israel,Jerusalem,17,48,0,0
2020-11-24,Italy,Rome,13,65,0,0
2020-11-24,Japan,Tokyo,13,54,3,0
2020-11-24,Latvia,Riga,6,74,2.7,0
2020-11-24,Lithuania,Vilnius,4,85,0.8,0
2020-11-24,Luxembourg,Luxembourg,6,90,0,0
2020-11-24,Mexico,Mexico City,20,49,0,0
2020-11-24,Netherlands,Amsterdam,8,87,0,0
2020-11-24,New Zealand,Wellington,14,76,1.2,0
2020-11-24,Norway,Oslo,3,92,0,0
2020-11-24,Poland,Warsaw,5,80,0,0
2020-11-24,Portugal,Lisbon,15,71,0.5,0
2020-11-24,Slovakia,Bratislava,4,85,0,0
2020-11-24,Slovenia,Ljubljana,2,78,0,0
2020-11-24,South Korea,Seoul,5,40,0,0
2020-11-24,Spain,Madrid,11,50,0,0
2020-11-24,Sweden,Stockholm,4,82,0.9,0
2020-11-24,Switzerland,Bern,5,77,0,0
2020-11-24,Taiwan,Taipei,19,77,1.2,0
2020-11-24,Turkey,Ankara,6,50,0,0
2020-11-24,United Kingdom,London,11,83,0,0
2020-11-24,United States,Washington D.C.,8,54,0,0
