Date,Country,City,Temp,Humidity,Rain,Snow
2021-11-30,Australia,Canberra,20.29,71.12,0.25,0
2021-11-30,Austria,Vienna,3.02,76.37,8.43,0
2021-11-30,Belgium,Brussels,7.68,93.16,8.92,0
2021-11-30,Canada,Ottawa,-2.78,77,0,0
2021-11-30,Chile,Santiago,19.9,32.5,0,0
2021-11-30,China,Beijing,1.35,22.87,0,0
2021-11-30,Colombia,Bogota,14.5,72.12,4.83,0
2021-11-30,Costa Rica,Sanjose,19.14,85.79,23.17,0
2021-11-30,Czechia,Prague,2.35,81.79,5.7,0
2021-11-30,Denmark,Copenhagen,0.9,88.66,3.07,0.53
2021-11-30,Estonia,Tallinn,-5.92,88.33,0,1.34
2021-11-30,Finland,Helsinki,-8.63,77.16,0,0
2021-11-30,France,Paris,6.02,91,0.25,0
2021-11-30,Germany,Berlin,3.58,86.91,8.46,0
2021-11-30,Greece,Athens,13.1,56.12,0.87,0
2021-11-30,Hungary,Budapest,3.06,74.25,8,0
2021-11-30,Iceland,Reykjavik,-0.72,81.45,0.5,4.39
2021-11-30,Ireland,Dublin,10.14,91.2,4.03,0
2021-11-30,Israel,Jerusalem,20.42,45.16,0,0
2021-11-30,Italy,Rome,6.6,66.12,0,0
2021-11-30,Japan,Tokyo,15.04,76.04,153.47,0
2021-11-30,Latvia,Riga,-0.99,81.25,0,1.32
2021-11-30,Lithuania,Vilnius,-2.5,88.04,0,3.7
2021-11-30,Luxembourg,Luxembourg,3.41,94.79,6.37,0
2021-11-30,Mexico,Mexico City,15.38,54.75,0,0
2021-11-30,Netherlands,Amsterdam,8.83,94.45,17.11,0
2021-11-30,New Zealand,Wellington,15.31,91.16,6.81,0
2021-11-30,Norway,Oslo,-5.2,46.54,0,4.18
2021-11-30,Poland,Warsaw,1.58,90.87,9.07,10.67
2021-11-30,Portugal,Lisbon,12.57,75.2,0,0
2021-11-30,Slovakia,Bratislava,2.65,77.33,4.33,0
2021-11-30,Slovenia,Ljubljana,-0.21,86.37,0,0
2021-11-30,South Korea,Seoul,3.46,69.41,14.69,0
2021-11-30,Spain,Madrid,7.48,72.41,0,0
2021-11-30,Sweden,Stockholm,-7.03,86.66,0,0
2021-11-30,Switzerland,Bern,0.54,78.5,3.61,0
2021-11-30,Taiwan,Taipei,19.06,64.66,10.49,0
2021-11-30,Turkey,Ankara,9.64,78.41,11.6,0
2021-11-30,United Kingdom,London,9.6,86.29,0,0
2021-11-30,United States,Washington D.C.,4.61,62.33,0,0
