Date,Country,City,Temp,Humidity,Rain,Snow
2021-08-14,Australia,Canberra,6.06,77.66,0,0.25
2021-08-14,Austria,Vienna,26.42,63.87,0.51,0
2021-08-14,Belgium,Brussels,18.86,74.33,0,0
2021-08-14,Canada,Ottawa,21.83,68.29,1.19,0
2021-08-14,Chile,Santiago,7.94,56.58,0,0
2021-08-14,China,Beijing,24.19,85.37,5.3,0
2021-08-14,Colombia,Bogota,12.67,81.75,5.92,0
2021-08-14,Costa Rica,Sanjose,20.83,79.7,23.6,0
2021-08-14,Czechia,Prague,24.37,60.75,0,0
2021-08-14,Denmark,Copenhagen,17.22,82.83,1.28,0
2021-08-14,Estonia,Tallinn,18.04,78.66,3.76,0
2021-08-14,Finland,Helsinki,17.94,74.25,6.11,0
2021-08-14,France,Paris,22.53,58.79,0,0
2021-08-14,Germany,Berlin,22.65,59.7,0,0
2021-08-14,Greece,Athens,27.72,43.04,7.6,0
2021-08-14,Hungary,Budapest,28.25,51.62,0,0
2021-08-14,Iceland,Reykjavik,12.13,83.04,0,0
2021-08-14,Ireland,Dublin,14.17,90.33,4.18,0
2021-08-14,Israel,Jerusalem,25.98,57.66,0,0
2021-08-14,Italy,Rome,31.03,43.08,0,0
2021-08-14,Japan,Tokyo,21.04,94.41,253.98,0
2021-08-14,Latvia,Riga,18.13,77.66,4.11,0
2021-08-14,Lithuania,Vilnius,19.86,76.58,4.97,0
2021-08-14,Luxembourg,Luxembourg,20.5,73.25,0,0
2021-08-14,Mexico,Mexico City,17.48,71.87,11.42,0
2021-08-14,Netherlands,Amsterdam,19.02,79.62,0,0
2021-08-14,New Zealand,Wellington,8.11,83.12,2.2,0
2021-08-14,Norway,Oslo,15.69,39.83,0.14,0
2021-08-14,Poland,Warsaw,23.39,68.2,0,0
2021-08-14,Portugal,Lisbon,24.08,56.66,0,0
2021-08-14,Slovakia,Bratislava,26.27,65.25,0,0
2021-08-14,Slovenia,Ljubljana,24.99,72.66,0,0
2021-08-14,South Korea,Seoul,25.29,62.54,1.11,0
2021-08-14,Spain,Madrid,33.68,24.16,0,0
2021-08-14,Sweden,Stockholm,17.2,72.25,3.42,0
2021-08-14,Switzerland,Bern,24.24,69.5,0,0
2021-08-14,Taiwan,Taipei,28.99,85.62,14.82,0
2021-08-14,Turkey,Ankara,21.74,43.5,0,0
2021-08-14,United Kingdom,London,19.36,74.08,0,0
2021-08-14,United States,Washington D.C.,26.61,80.29,5.14,0
