Date,Country,City,Temp,Humidity,Rain,Snow
2021-01-21,Australia,Canberra,24,54,0,0
2021-01-21,Austria,Vienna,2,89,0,0
2021-01-21,Belgium,Brussels,7,74,7.5,0
2021-01-21,Canada,Ottawa,-5,94,6.9,59
2021-01-21,Chile,Santiago,23,40,0.2,0
2021-01-21,China,Beijing,3,47,0,0
2021-01-21,Colombia,Bogota,17,76,4,0
2021-01-21,Costa Rica,SanJose,14,37,0,0
2021-01-21,Czechia,Prague,1,86,0,0
2021-01-21,Denmark,Copenhagen,6,77,0.3,0
2021-01-21,Estonia,Tallinn,0,96,13.5,31
2021-01-21,Finland,Helsinki,-2,96,18.2,67
2021-01-21,France,Paris,7,72,13.6,0
2021-01-21,Germany,Berlin,7,67,0.1,0
2021-01-21,Greece,Athens,10,69,0,0
2021-01-21,Hungary,Budapest,7,80,0,0
2021-01-21,Iceland,Reykjavik,-2,77,0,0
2021-01-21,Ireland,Dublin,5,81,0.1,0
2021-01-21,Israel,Jerusalem,8,66,0.2,0
2021-01-21,Italy,Rome,12,79,3.6,0
2021-01-21,Japan,Tokyo,10,37,0,0
2021-01-21,Latvia,Riga,2,95,2,0
2021-01-21,Lithuania,Vilnius,1,95,5.5,0
2021-01-21,Luxembourg,Luxembourg,6,81,12.6,0
2021-01-21,Mexico,Mexico City,19,56,0.6,0
2021-01-21,Netherlands,Amsterdam,7,70,5.4,0
2021-01-21,New Zealand,Wellington,16,67,1.2,0
2021-01-21,Norway,Oslo,-1,98,26.8,190
2021-01-21,Poland,Warsaw,1,90,0,0
2021-01-21,Portugal,Lisbon,14,88,4.8,0
2021-01-21,Slovakia,Bratislava,2,91,0,0
2021-01-21,Slovenia,Ljubljana,4,91,0.4,0
2021-01-21,South Korea,Seoul,1,73,7.5,0
2021-01-21,Spain,Madrid,8,92,4,0
2021-01-21,Sweden,Stockholm,3,95,6.9,0
2021-01-21,Switzerland,Bern,1,83,0,0
2021-01-21,Taiwan,Taipei,22,77,0,0
2021-01-21,Turkey,Ankara,-3,70,0,0
2021-01-21,United Kingdom,London,7,64,6.4,0
2021-01-21,United States,Washington D.C.,5,59,0,0
