Date,Country,City,Temp,Humidity,Rain,Snow
2020-04-08,Australia,Canberra,13,83,4.4,0
2020-04-08,Austria,Vienna,14,36,0,0
2020-04-08,Belgium,Brussels,18,65,0,0
2020-04-08,Canada,Ottawa,5,68,0.3,1
2020-04-08,Chile,Santiago,23,30,0.2,0
2020-04-08,China,Beijing,15,23,0,0
2020-04-08,Colombia,Bogota,18,82,17.9,0
2020-04-08,Costa Rica,SanJose,16,73,0,0
2020-04-08,Czechia,Prague,14,49,0,0
2020-04-08,Denmark,Copenhagen,10,65,0,0
2020-04-08,Estonia,Tallinn,8,69,0,0
2020-04-08,Finland,Helsinki,6,73,0,0
2020-04-08,France,Paris,19,58,0,0
2020-04-08,Germany,Berlin,16,52,0,0
2020-04-08,Greece,Athens,10,62,0,0
2020-04-08,Hungary,Budapest,19,33,0,0
2020-04-08,Iceland,Reykjavik,-2,69,0,0
2020-04-08,Ireland,Dublin,11,79,0,0
2020-04-08,Israel,Jerusalem,13,69,0,0
2020-04-08,Italy,Rome,17,57,0.2,0
2020-04-08,Japan,Tokyo,16,51,0,0
2020-04-08,Latvia,Riga,9,65,0,0
2020-04-08,Lithuania,Vilnius,11,68,0,0
2020-04-08,Luxembourg,Luxembourg,16,64,0,0
2020-04-08,Mexico,Mexico City,26,33,0,0
2020-04-08,Netherlands,Amsterdam,16,71,0,0
2020-04-08,New Zealand,Wellington,14,84,1.4,0
2020-04-08,Norway,Oslo,8,66,0,0
2020-04-08,Poland,Warsaw,16,55,0,0
2020-04-08,Portugal,Lisbon,16,85,0.2,0
2020-04-08,Slovakia,Bratislava,13,54,0,0
2020-04-08,Slovenia,Ljubljana,12,55,0,0
2020-04-08,South Korea,Seoul,11,19,0,0
2020-04-08,Spain,Madrid,16,64,0.8,0
2020-04-08,Sweden,Stockholm,10,61,0,0
2020-04-08,Switzerland,Bern,15,68,0.2,0
2020-04-08,Taiwan,Taipei,19,68,0.1,0
2020-04-08,Turkey,Ankara,10,52,0,0
2020-04-08,United Kingdom,London,18,60,1.4,0
2020-04-08,United States,Washington D.C.,22,65,3.4,0
