Date,Country,City,Temp,Humidity,Rain,Snow
2020-07-28,Australia,Canberra,10,83,2,0
2020-07-28,Austria,Vienna,29,53,0,0
2020-07-28,Belgium,Brussels,19,68,0.7,0
2020-07-28,Canada,Ottawa,24,73,0.7,0
2020-07-28,Chile,Santiago,13,38,0,0
2020-07-28,China,Beijing,29,61,8.3,0
2020-07-28,Colombia,Bogota,16,81,2.5,0
2020-07-28,Costa Rica,SanJose,28,46,0,0
2020-07-28,Czechia,Prague,27,59,1,0
2020-07-28,Denmark,Copenhagen,20,69,3.3,0
2020-07-28,Estonia,Tallinn,18,89,14.9,0
2020-07-28,Finland,Helsinki,19,83,1.6,0
2020-07-28,France,Paris,22,55,0.1,0
2020-07-28,Germany,Berlin,24,56,0.6,0
2020-07-28,Greece,Athens,30,42,0,0
2020-07-28,Hungary,Budapest,29,46,0,0
2020-07-28,Iceland,Reykjavik,10,77,0,0
2020-07-28,Ireland,Dublin,14,78,0.3,0
2020-07-28,Israel,Jerusalem,30,45,0,0
2020-07-28,Italy,Rome,31,43,0,0
2020-07-28,Japan,Tokyo,29,68,0.6,0
2020-07-28,Latvia,Riga,20,80,0.5,0
2020-07-28,Lithuania,Vilnius,22,80,4,0
2020-07-28,Luxembourg,Luxembourg,19,69,0.1,0
2020-07-28,Mexico,Mexico City,21,61,18,0
2020-07-28,Netherlands,Amsterdam,18,66,1.1,0
2020-07-28,New Zealand,Wellington,11,81,0,0
2020-07-28,Norway,Oslo,13,92,24.2,0
2020-07-28,Poland,Warsaw,26,60,0.3,0
2020-07-28,Portugal,Lisbon,22,77,0,0
2020-07-28,Slovakia,Bratislava,28,61,0,0
2020-07-28,Slovenia,Ljubljana,28,66,0,0
2020-07-28,South Korea,Seoul,23,77,6,0
2020-07-28,Spain,Madrid,32,27,0,0
2020-07-28,Sweden,Stockholm,18,80,3.9,0
2020-07-28,Switzerland,Bern,25,65,4.3,0
2020-07-28,Taiwan,Taipei,31,67,35,0
2020-07-28,Turkey,Ankara,27,47,4.9,0
2020-07-28,United Kingdom,London,18,57,0,0
2020-07-28,United States,Washington D.C.,32,58,0.4,0
