Date,Country,City,Temp,Humidity,Rain,Snow
2021-01-15,Australia,Canberra,22,49,0,0
2021-01-15,Austria,Vienna,-1,74,0.3,3
2021-01-15,Belgium,Brussels,-1,82,0.1,1
2021-01-15,Canada,Ottawa,-2,95,1.7,14
2021-01-15,Chile,Santiago,22,34,0,0
2021-01-15,China,Beijing,-1,35,0,0
2021-01-15,Colombia,Bogota,17,81,5,0
2021-01-15,Costa Rica,SanJose,16,59,0,0
2021-01-15,Czechia,Prague,-3,86,0.3,1
2021-01-15,Denmark,Copenhagen,-4,82,0,0
2021-01-15,Estonia,Tallinn,-10,90,1.6,14
2021-01-15,Finland,Helsinki,-15,94,0,0
2021-01-15,France,Paris,3,78,0.4,0
2021-01-15,Germany,Berlin,-1,86,0.8,7
2021-01-15,Greece,Athens,7,66,1.6,0
2021-01-15,Hungary,Budapest,-1,71,0,0
2021-01-15,Iceland,Reykjavik,3,85,9.7,0
2021-01-15,Ireland,Dublin,5,83,0,0
2021-01-15,Israel,Jerusalem,10,81,1.4,0
2021-01-15,Italy,Rome,8,62,0,0
2021-01-15,Japan,Tokyo,7,58,0.2,0
2021-01-15,Latvia,Riga,-9,84,0.2,2
2021-01-15,Lithuania,Vilnius,-16,93,0.1,0
2021-01-15,Luxembourg,Luxembourg,-3,88,1.4,12
2021-01-15,Mexico,Mexico City,17,53,1.3,0
2021-01-15,Netherlands,Amsterdam,1,81,0.2,2
2021-01-15,New Zealand,Wellington,20,76,0,0
2021-01-15,Norway,Oslo,-11,80,0,0
2021-01-15,Poland,Warsaw,-7,86,0.1,0
2021-01-15,Portugal,Lisbon,11,86,0,0
2021-01-15,Slovakia,Bratislava,-2,81,0.2,1
2021-01-15,Slovenia,Ljubljana,-1,62,0,0
2021-01-15,South Korea,Seoul,2,74,0.4,0
2021-01-15,Spain,Madrid,7,80,0,0
2021-01-15,Sweden,Stockholm,-9,94,0.6,5
2021-01-15,Switzerland,Bern,0,98,25,99
2021-01-15,Taiwan,Taipei,19,58,0,0
2021-01-15,Turkey,Ankara,-1,83,4.3,18
2021-01-15,United Kingdom,London,3,72,0.2,2
2021-01-15,United States,Washington D.C.,6,79,0,0
