Date,Country,City,Temp,Humidity,Rain,Snow
2020-10-24,Australia,Canberra,16,94,37.2,0
2020-10-24,Austria,Vienna,16,71,0.5,0
2020-10-24,Belgium,Brussels,11,77,0.4,0
2020-10-24,Canada,Ottawa,6,81,14,0
2020-10-24,Chile,Santiago,14,55,0.3,0
2020-10-24,China,Beijing,18,20,0,0
2020-10-24,Colombia,Bogota,16,82,6.5,0
2020-10-24,Costa Rica,SanJose,19,74,0,0
2020-10-24,Czechia,Prague,12,78,1.1,0
2020-10-24,Denmark,Copenhagen,11,72,5.3,0
2020-10-24,Estonia,Tallinn,8,90,15.9,0
2020-10-24,Finland,Helsinki,5,89,0.6,0
2020-10-24,France,Paris,14,72,0.1,0
2020-10-24,Germany,Berlin,12,69,0.4,0
2020-10-24,Greece,Athens,23,53,0,0
2020-10-24,Hungary,Budapest,15,73,0,0
2020-10-24,Iceland,Reykjavik,5,77,0.3,0
2020-10-24,Ireland,Dublin,12,81,5.8,0
2020-10-24,Israel,Jerusalem,24,36,0,0
2020-10-24,Italy,Rome,19,76,1.3,0
2020-10-24,Japan,Tokyo,19,50,1.9,0
2020-10-24,Latvia,Riga,10,88,1.7,0
2020-10-24,Lithuania,Vilnius,10,93,5.6,0
2020-10-24,Luxembourg,Luxembourg,11,88,0.6,0
2020-10-24,Mexico,Mexico City,21,33,0,0
2020-10-24,Netherlands,Amsterdam,11,73,2.9,0
2020-10-24,New Zealand,Wellington,15,88,0.1,0
2020-10-24,Norway,Oslo,5,89,1.2,0
2020-10-24,Poland,Warsaw,13,76,2.8,0
2020-10-24,Portugal,Lisbon,17,71,0,0
2020-10-24,Slovakia,Bratislava,15,79,1.1,0
2020-10-24,Slovenia,Ljubljana,14,90,6.1,0
2020-10-24,South Korea,Seoul,11,29,0,0
2020-10-24,Spain,Madrid,16,65,0,0
2020-10-24,Sweden,Stockholm,8,89,1.3,0
2020-10-24,Switzerland,Bern,12,88,0.6,0
2020-10-24,Taiwan,Taipei,19,75,1.6,0
2020-10-24,Turkey,Ankara,19,36,0,0
2020-10-24,United Kingdom,London,13,72,0.2,0
2020-10-24,United States,Washington D.C.,21,73,1.2,0
