Date,Country,City,Temp,Humidity,Rain,Snow
2021-12-04,Australia,Canberra,16.42,73,2.67,0
2021-12-04,Austria,Vienna,0.84,72.58,1.63,0.35
2021-12-04,Belgium,Brussels,4.68,92.33,6.26,0
2021-12-04,Canada,Ottawa,-6.61,67.12,0,2.96
2021-12-04,Chile,Santiago,23.62,33.33,0,0
2021-12-04,China,Beijing,2.42,32.08,0,0
2021-12-04,Colombia,Bogota,14.33,74.12,1.27,0
2021-12-04,Costa Rica,Sanjose,20.53,76.91,1.3,0
2021-12-04,Czechia,Prague,0.42,84.62,4.58,4.32
2021-12-04,Denmark,Copenhagen,3.79,92.7,0.25,0
2021-12-04,Estonia,Tallinn,-4.09,90.04,0,2.31
2021-12-04,Finland,Helsinki,-8.68,83.83,0,0
2021-12-04,France,Paris,8.67,88.33,9.32,0
2021-12-04,Germany,Berlin,1.85,88.2,1.9,0
2021-12-04,Greece,Athens,13.86,85.95,12,0
2021-12-04,Hungary,Budapest,-1.89,82,0,0
2021-12-04,Iceland,Reykjavik,-3.91,87.25,0,0
2021-12-04,Ireland,Dublin,4.33,82.95,0.76,0
2021-12-04,Israel,Jerusalem,15.07,52.79,0,0
2021-12-04,Italy,Rome,9.13,79.33,14.35,0
2021-12-04,Japan,Tokyo,10.39,45.66,0,0
2021-12-04,Latvia,Riga,-4.72,94.29,0,2.04
2021-12-04,Lithuania,Vilnius,-1.48,91.41,0,0.97
2021-12-04,Luxembourg,Luxembourg,3.44,95.04,8.15,0
2021-12-04,Mexico,Mexico City,15.85,42.91,0,0
2021-12-04,Netherlands,Amsterdam,5.27,94.29,6.36,0
2021-12-04,New Zealand,Wellington,18.26,83.62,3.54,0
2021-12-04,Norway,Oslo,-5.62,37.87,0,0.68
2021-12-04,Poland,Warsaw,0.47,77.7,0,0
2021-12-04,Portugal,Lisbon,13.17,82.7,0,0
2021-12-04,Slovakia,Bratislava,0.33,80.37,0,0.25
2021-12-04,Slovenia,Ljubljana,0.17,91.75,1.27,0
2021-12-04,South Korea,Seoul,0.63,56.7,0,0
2021-12-04,Spain,Madrid,7.69,77.58,0,0
2021-12-04,Sweden,Stockholm,-6.07,89.33,0,0
2021-12-04,Switzerland,Bern,4.35,91.62,26.75,1.27
2021-12-04,Taiwan,Taipei,18.21,62.79,0.33,0
2021-12-04,Turkey,Ankara,7.91,76.75,4.02,0
2021-12-04,United Kingdom,London,5.87,84.25,4.06,0
2021-12-04,United States,Washington D.C.,9.4,60.45,0,0
