Date,Country,City,Temp,Humidity,Rain,Snow
2022-07-29,Australia,Canberra,3.4,73.29,0,0
2022-07-29,Austria,Vienna,22.99,71.37,7.47,0
2022-07-29,Belgium,Brussels,20.41,59.75,0,0
2022-07-29,Canada,Ottawa,21.27,69.33,0,0
2022-07-29,Chile,Santiago,15,50.45,0,0
2022-07-29,China,Beijing,27.56,67.25,0,0
2022-07-29,Colombia,Bogota,12.62,82.7,0,0
2022-07-29,Costa Rica,Sanjose,20.8,74.58,0,0
2022-07-29,Czechia,Prague,21.58,57.66,3.91,0
2022-07-29,Denmark,Copenhagen,17.46,71.16,0,0
2022-07-29,Estonia,Tallinn,16.38,70.58,0,0
2022-07-29,Finland,Helsinki,15.8,74.25,0,0
2022-07-29,France,Paris,23.64,46.66,0,0
2022-07-29,Germany,Berlin,22.46,48.16,0,0
2022-07-29,Greece,Athens,30.72,35.66,0,0
2022-07-29,Hungary,Budapest,27.84,44.12,0,0
2022-07-29,Iceland,Reykjavik,10.39,71,0,0
2022-07-29,Ireland,Dublin,18.06,77.5,0,0
2022-07-29,Israel,Jerusalem,27.5,43.87,0,0
2022-07-29,Italy,Rome,28.11,63.04,0,0
2022-07-29,Japan,Tokyo,30.47,70.7,0,0
2022-07-29,Latvia,Riga,16.65,63.04,0,0
2022-07-29,Lithuania,Vilnius,16.65,69.08,0,0
2022-07-29,Luxembourg,Luxembourg,20.79,58.91,0,0
2022-07-29,Mexico,Mexico City,16.39,77.37,2.23,0
2022-07-29,Netherlands,Amsterdam,18.99,67.7,0,0
2022-07-29,New Zealand,Wellington,12.39,83.41,1.89,0
2022-07-29,Norway,Oslo,17.46,38.2,0,0
2022-07-29,Poland,Warsaw,20.74,62,0,0
2022-07-29,Portugal,Lisbon,22.16,68.45,0,0
2022-07-29,Slovakia,Bratislava,24.32,61.12,1,0
2022-07-29,Slovenia,Ljubljana,24.2,63.58,0.36,0
2022-07-29,South Korea,Seoul,30.58,65.58,0,0
2022-07-29,Spain,Madrid,29.79,30,0,0
2022-07-29,Sweden,Stockholm,17.01,62.66,0,0
2022-07-29,Switzerland,Bern,18.49,78.04,4.24,0
2022-07-29,Taiwan,Taipei,29.98,60.41,0.99,0
2022-07-29,Turkey,Ankara,27.29,31.04,0,0
2022-07-29,United Kingdom,London,20.6,59.7,0,0
2022-07-29,United States,Washington D.C.,26.46,81,0.65,0
