Date,Country,City,Temp,Humidity,Rain,Snow
2021-07-11,Australia,Canberra,5.44,85.58,0,0
2021-07-11,Austria,Vienna,20.11,69.12,3.66,0
2021-07-11,Belgium,Brussels,17.51,77.79,0,0
2021-07-11,Canada,Ottawa,20.17,66.04,0,0
2021-07-11,Chile,Santiago,11.8,58.37,0,0
2021-07-11,China,Beijing,26.82,83.16,36.81,0
2021-07-11,Colombia,Bogota,15.2,67.91,0,0
2021-07-11,Costa Rica,Sanjose,20.45,85.7,5.3,0
2021-07-11,Czechia,Prague,18.88,78.87,4.69,0
2021-07-11,Denmark,Copenhagen,18.22,74.2,0,0
2021-07-11,Estonia,Tallinn,21.25,75.33,0,0
2021-07-11,Finland,Helsinki,21.94,66.08,0,0
2021-07-11,France,Paris,18.49,74.08,0,0
2021-07-11,Germany,Berlin,22.94,60.08,0,0
2021-07-11,Greece,Athens,28.08,32.37,0,0
2021-07-11,Hungary,Budapest,23.9,67.87,1.27,0
2021-07-11,Iceland,Reykjavik,12.95,76.37,0,0
2021-07-11,Ireland,Dublin,14.77,91.04,3.07,0
2021-07-11,Israel,Jerusalem,26.98,69.66,0,0
2021-07-11,Italy,Rome,25.53,56.16,0,0
2021-07-11,Japan,Tokyo,25.32,89.66,7.04,0
2021-07-11,Latvia,Riga,22.5,66.41,0,0
2021-07-11,Lithuania,Vilnius,23.85,73,0,0
2021-07-11,Luxembourg,Luxembourg,16.7,79.16,0.25,0
2021-07-11,Mexico,Mexico City,17.87,64.2,0,0
2021-07-11,Netherlands,Amsterdam,18.25,84.7,2.43,0
2021-07-11,New Zealand,Wellington,6.27,80.29,0.75,0
2021-07-11,Norway,Oslo,18.04,77.7,0,0
2021-07-11,Poland,Warsaw,22.51,72.16,9.11,0
2021-07-11,Portugal,Lisbon,22.03,60.54,0,0
2021-07-11,Slovakia,Bratislava,20.17,75.16,13.69,0
2021-07-11,Slovenia,Ljubljana,21.11,72.83,20.71,0
2021-07-11,South Korea,Seoul,24.79,82.66,0.67,0
2021-07-11,Spain,Madrid,30.62,25.08,0,0
2021-07-11,Sweden,Stockholm,20.59,67.41,2.29,0
2021-07-11,Switzerland,Bern,17.82,76.62,0,0
2021-07-11,Taiwan,Taipei,29.86,77.5,0,0
2021-07-11,Turkey,Ankara,23.17,40.83,0,0
2021-07-11,United Kingdom,London,16.56,74.62,1.79,0
2021-07-11,United States,Washington D.C.,26.33,69.2,0,0
