tDate,Country,City,Temp,Humidity,Rain,Snow
2022-10-16,Australia,Canberra,12.83,72.45,0,0
2022-10-16,Austria,Vienna,15.04,89.58,0,0
2022-10-16,Belgium,Brussels,14.98,83.79,2.29,0
2022-10-16,Canada,Ottawa,8.76,66.37,0,0
2022-10-16,Chile,Santiago,19.68,42.58,0,0
2022-10-16,China,Beijing,13.48,11.45,0,0
2022-10-16,Colombia,Bogota,13.04,81.79,0,0
2022-10-16,Costa Rica,Sanjose,19.93,90.04,0.5,0
2022-10-16,Czechia,Prague,16.98,87.75,1.14,0
2022-10-16,Denmark,Copenhagen,13.07,83.41,0,0
2022-10-16,Estonia,Tallinn,11.86,90.45,0.97,0
2022-10-16,Finland,Helsinki,11.03,87.33,2.12,0
2022-10-16,France,Paris,17.15,87.83,0,0
2022-10-16,Germany,Berlin,16.52,79.29,0,0
2022-10-16,Greece,Athens,18.01,62.29,0,0
2022-10-16,Hungary,Budapest,15.01,68.95,0,0
2022-10-16,Iceland,Reykjavik,3.06,64.45,0,0
2022-10-16,Ireland,Dublin,10.5,80.41,13.85,0
2022-10-16,Israel,Jerusalem,21.99,61.75,0,0
2022-10-16,Italy,Rome,19.46,73.41,0,0
2022-10-16,Japan,Tokyo,21.47,76.25,0,0
2022-10-16,Latvia,Riga,13.25,91.16,0,0
2022-10-16,Lithuania,Vilnius,12.27,82.75,0,0
2022-10-16,Luxembourg,Luxembourg,14.42,93.37,0.27,0
2022-10-16,Mexico,Mexico City,18.86,58.79,0,0
2022-10-16,Netherlands,Amsterdam,14.52,79.29,0.81,0
2022-10-16,New Zealand,Wellington,14.15,78.79,0,0
2022-10-16,Norway,Oslo,6.41,1,11.47,0
2022-10-16,Poland,Warsaw,16.25,82.95,0,0
2022-10-16,Portugal,Lisbon,18.9,75.54,1.52,0
2022-10-16,Slovakia,Bratislava,15.71,78.62,0,0
2022-10-16,Slovenia,Ljubljana,12.93,86.37,0,0
2022-10-16,South Korea,Seoul,16,69.08,0.6,0
2022-10-16,Spain,Madrid,19.88,51.83,0,0
2022-10-16,Sweden,Stockholm,11.55,87.79,1.8,0
2022-10-16,Switzerland,Bern,15.77,73.12,0,0
2022-10-16,Taiwan,Taipei,25.34,74.66,65.13,0
2022-10-16,Turkey,Ankara,12.48,88.12,3.17,0
2022-10-16,United Kingdom,London,14.06,79.95,1.78,0
2022-10-16,United States,Washington D.C.,16.64,67.25,0,0
