tDate,Country,City,Temp,Humidity,Rain,Snow
2021-09-01,Australia,Canberra,11.67,65.95,0,0
2021-09-01,Austria,Vienna,16.94,66.66,0,0
2021-09-01,Belgium,Brussels,16.46,75.66,0,0
2021-09-01,Canada,Ottawa,18.48,63.75,0,0
2021-09-01,Chile,Santiago,10.7,74.54,2.09,0
2021-09-01,China,Beijing,23.69,66.87,0,0
2021-09-01,Colombia,Bogota,14.08,80.79,9.72,0
2021-09-01,Costa Rica,Sanjose,20.33,79.95,20.81,0
2021-09-01,Czechia,Prague,16.05,71.25,0,0
2021-09-01,Denmark,Copenhagen,17.44,74.79,0,0
2021-09-01,Estonia,Tallinn,13.28,71.41,0,0
2021-09-01,Finland,Helsinki,11.97,70.7,0,0
2021-09-01,France,Paris,17.79,74.25,0,0
2021-09-01,Germany,Berlin,16.75,82.12,0,0
2021-09-01,Greece,Athens,27.74,49.2,0,0
2021-09-01,Hungary,Budapest,17.69,67.2,0,0
2021-09-01,Iceland,Reykjavik,12.73,85.75,0,0
2021-09-01,Ireland,Dublin,15.18,82.58,0,0
2021-09-01,Israel,Jerusalem,24.32,73.79,0,0
2021-09-01,Italy,Rome,24.05,58.7,0,0
2021-09-01,Japan,Tokyo,20.06,88.37,27.89,0
2021-09-01,Latvia,Riga,14.17,73.25,0.68,0
2021-09-01,Lithuania,Vilnius,14.49,80.87,0.63,0
2021-09-01,Luxembourg,Luxembourg,15.38,80.79,0,0
2021-09-01,Mexico,Mexico City,16.61,81.41,26.8,0
2021-09-01,Netherlands,Amsterdam,16.68,79.37,0,0
2021-09-01,New Zealand,Wellington,9.49,79.2,0,0
2021-09-01,Norway,Oslo,17.24,35.33,0,0
2021-09-01,Poland,Warsaw,16.44,76.25,1.51,0
2021-09-01,Portugal,Lisbon,21.41,74.5,1.9,0
2021-09-01,Slovakia,Bratislava,17.32,67.2,0,0
2021-09-01,Slovenia,Ljubljana,16.55,74.87,0.51,0
2021-09-01,South Korea,Seoul,21.9,80.08,0,0
2021-09-01,Spain,Madrid,19.62,81.08,25.04,0
2021-09-01,Sweden,Stockholm,13.41,63.5,0.92,0
2021-09-01,Switzerland,Bern,16.03,71.62,0,0
2021-09-01,Taiwan,Taipei,30.42,67.37,0,0
2021-09-01,Turkey,Ankara,23.38,57.62,4.09,0
2021-09-01,United Kingdom,London,16.24,76,0,0
2021-09-01,United States,Washington D.C.,24.62,91.29,45.32,0
