Date,Country,City,Temp,Humidity,Rain,Snow
2022-07-24,Australia,Canberra,7.7,85.29,0,0
2022-07-24,Austria,Vienna,26,50.12,0,0
2022-07-24,Belgium,Brussels,23.99,60.58,0,0
2022-07-24,Canada,Ottawa,23.44,82.37,1.75,0
2022-07-24,Chile,Santiago,12.61,72.16,0,0
2022-07-24,China,Beijing,27.77,46.91,0.13,0
2022-07-24,Colombia,Bogota,13.58,79.91,0.24,0
2022-07-24,Costa Rica,Sanjose,20.75,77.45,0,0
2022-07-24,Czechia,Prague,22.66,61.04,0,0
2022-07-24,Denmark,Copenhagen,17.32,75.33,0.75,0
2022-07-24,Estonia,Tallinn,17.78,88.41,0.18,0
2022-07-24,Finland,Helsinki,17.39,86.62,0,0
2022-07-24,France,Paris,26.19,55.87,0,0
2022-07-24,Germany,Berlin,21.78,54,0,0
2022-07-24,Greece,Athens,33.73,32.08,0,0
2022-07-24,Hungary,Budapest,27.64,42.37,0.72,0
2022-07-24,Iceland,Reykjavik,11.02,79.58,0,0
2022-07-24,Ireland,Dublin,19.81,73.75,0,0
2022-07-24,Israel,Jerusalem,24.31,69.95,0,0
2022-07-24,Italy,Rome,28.95,60.54,0,0
2022-07-24,Japan,Tokyo,29.31,65.54,0,0
2022-07-24,Latvia,Riga,17.88,79,0,0
2022-07-24,Lithuania,Vilnius,18.69,83.37,0.72,0
2022-07-24,Luxembourg,Luxembourg,23.53,57.29,0,0
2022-07-24,Mexico,Mexico City,17.36,67.75,1.93,0
2022-07-24,Netherlands,Amsterdam,23.23,62.95,0,0
2022-07-24,New Zealand,Wellington,7.09,89.54,3.24,0
2022-07-24,Norway,Oslo,16.16,4.33,0.28,0
2022-07-24,Poland,Warsaw,20.2,77.16,0,0
2022-07-24,Portugal,Lisbon,23.64,55.75,0,0
2022-07-24,Slovakia,Bratislava,25.46,49.2,0.12,0
2022-07-24,Slovenia,Ljubljana,25.6,66.45,5.26,0
2022-07-24,South Korea,Seoul,26,81.87,0,0
2022-07-24,Spain,Madrid,31.06,18.37,0,0
2022-07-24,Sweden,Stockholm,19.36,66.41,0,0
2022-07-24,Switzerland,Bern,23.81,58.29,0,0
2022-07-24,Taiwan,Taipei,32.55,54.66,0,0
2022-07-24,Turkey,Ankara,22.45,40.45,0,0
2022-07-24,United Kingdom,London,22.41,62.12,0.32,0
2022-07-24,United States,Washington D.C.,29.68,60.5,0,0
