tDate,Country,City,Temp,Humidity,Rain,Snow
2023-01-12,Australia,Canberra,23.99,64.37,0.13,0
2023-01-12,Austria,Vienna,9.48,71.62,0,0
2023-01-12,Belgium,Brussels,9.85,90.45,4.2,0
2023-01-12,Canada,Ottawa,-6.22,86.79,0,7.3
2023-01-12,Chile,Santiago,23.2,37.25,0,0
2023-01-12,China,Beijing,1.23,63.7,2.33,0.75
2023-01-12,Colombia,Bogota,12.87,85.75,6.12,0
2023-01-12,Costa Rica,Sanjose,19.79,79.29,0,0
2023-01-12,Czechia,Prague,7.33,76.75,3.53,0
2023-01-12,Denmark,Copenhagen,6.12,92.79,3.98,0
2023-01-12,Estonia,Tallinn,1.8,92,1.24,1.83
2023-01-12,Finland,Helsinki,1.36,91.66,2.73,3.07
2023-01-12,France,Paris,10.74,87.16,0.15,0
2023-01-12,Germany,Berlin,8.55,84.87,8.07,0
2023-01-12,Greece,Athens,11.43,70,0,0
2023-01-12,Hungary,Budapest,4.18,89.62,0.15,0
2023-01-12,Iceland,Reykjavik,-1.31,58.37,0,0
2023-01-12,Ireland,Dublin,9.33,77.83,0.86,0
2023-01-12,Israel,Jerusalem,9.49,72.79,0,0
2023-01-12,Italy,Rome,9.43,70.7,2.61,0
2023-01-12,Japan,Tokyo,7.69,48.04,0,0
2023-01-12,Latvia,Riga,2.7,96.2,0.21,2.04
2023-01-12,Lithuania,Vilnius,0.19,98.83,2.03,0
2023-01-12,Luxembourg,Luxembourg,8.3,90.04,3.6,0
2023-01-12,Mexico,Mexico City,13.82,56.33,0.32,0
2023-01-12,Netherlands,Amsterdam,10.55,91.08,0.42,0
2023-01-12,New Zealand,Wellington,16.07,76.37,0,0
2023-01-12,Norway,Oslo,2.94,93.41,0.42,0.13
2023-01-12,Poland,Warsaw,6.41,90.33,1.1,0
2023-01-12,Portugal,Lisbon,11.65,72.54,0,0
2023-01-12,Slovakia,Bratislava,6.46,82.91,0.36,0
2023-01-12,Slovenia,Ljubljana,3.18,82.41,0.27,0.42
2023-01-12,South Korea,Seoul,5.37,61.91,8.57,0
2023-01-12,Spain,Madrid,6.19,83.75,0,0
2023-01-12,Sweden,Stockholm,3.78,93.62,0.12,0
2023-01-12,Switzerland,Bern,5.78,73.45,0,0
2023-01-12,Taiwan,Taipei,21.1,73.79,0,0
2023-01-12,Turkey,Ankara,6.89,63.87,0,0
2023-01-12,United Kingdom,London,11.05,84.12,6.63,0
2023-01-12,United States,Washington D.C.,7.3,81.62,2.13,0
