Date,Country,City,Temp,Humidity,Rain,Snow
2020-04-30,Australia,Canberra,7,92,45.4,0
2020-04-30,Austria,Vienna,18,56,0.1,0
2020-04-30,Belgium,Brussels,11,74,8.7,0
2020-04-30,Canada,Ottawa,13,84,15.8,0
2020-04-30,Chile,Santiago,19,28,0,0
2020-04-30,China,Beijing,31,20,0,0
2020-04-30,Colombia,Bogota,16,87,8.3,0
2020-04-30,Costa Rica,SanJose,20,57,0,0
2020-04-30,Czechia,Prague,14,73,4.7,0
2020-04-30,Denmark,Copenhagen,9,86,4.8,0
2020-04-30,Estonia,Tallinn,6,71,0.5,0
2020-04-30,Finland,Helsinki,5,69,0,0
2020-04-30,France,Paris,13,62,4.1,0
2020-04-30,Germany,Berlin,14,73,3.5,0
2020-04-30,Greece,Athens,22,51,0,0
2020-04-30,Hungary,Budapest,18,61,0.8,0
2020-04-30,Iceland,Reykjavik,5,63,0,0
2020-04-30,Ireland,Dublin,7,88,9.9,0
2020-04-30,Israel,Jerusalem,18,63,0,0
2020-04-30,Italy,Rome,17,70,0.2,0
2020-04-30,Japan,Tokyo,21,50,0,0
2020-04-30,Latvia,Riga,7,62,0,0
2020-04-30,Lithuania,Vilnius,8,62,0,0
2020-04-30,Luxembourg,Luxembourg,10,82,15.1,0
2020-04-30,Mexico,Mexico City,22,38,4.8,0
2020-04-30,Netherlands,Amsterdam,12,69,4.3,0
2020-04-30,New Zealand,Wellington,15,77,0,0
2020-04-30,Norway,Oslo,5,69,3.5,23
2020-04-30,Poland,Warsaw,14,63,0,0
2020-04-30,Portugal,Lisbon,17,70,0.6,0
2020-04-30,Slovakia,Bratislava,17,66,0.5,0
2020-04-30,Slovenia,Ljubljana,14,83,11.6,0
2020-04-30,South Korea,Seoul,18,51,0,0
2020-04-30,Spain,Madrid,15,65,0,0
2020-04-30,Sweden,Stockholm,6,69,0,0
2020-04-30,Switzerland,Bern,10,88,8.9,0
2020-04-30,Taiwan,Taipei,27,61,0,0
2020-04-30,Turkey,Ankara,16,53,5.4,0
2020-04-30,United Kingdom,London,11,64,5.8,0
2020-04-30,United States,Washington D.C.,16,85,22,0
