Date,Country,City,Temp,Humidity,Rain,Snow
2021-09-25,Australia,Canberra,9.37,66.75,1.06,0
2021-09-25,Austria,Vienna,18.49,67.08,0,0
2021-09-25,Belgium,Brussels,16.85,80.29,0,0
2021-09-25,Canada,Ottawa,15.13,77.29,0,0
2021-09-25,Chile,Santiago,15.11,65.79,0,0
2021-09-25,China,Beijing,21.05,76.33,0.74,0
2021-09-25,Colombia,Bogota,14.37,66.33,4.43,0
2021-09-25,Costa Rica,Sanjose,20.7,79.16,17.86,0
2021-09-25,Czechia,Prague,17.42,71.83,0,0
2021-09-25,Denmark,Copenhagen,14.4,81.87,0,0
2021-09-25,Estonia,Tallinn,10.11,86.25,0.86,0
2021-09-25,Finland,Helsinki,9.88,88.08,1.18,0
2021-09-25,France,Paris,17.47,81.16,0,0
2021-09-25,Germany,Berlin,17.72,81.83,0,0
2021-09-25,Greece,Athens,23.12,49.12,0,0
2021-09-25,Hungary,Budapest,19.13,66.41,0,0
2021-09-25,Iceland,Reykjavik,5.71,60.7,1.29,0
2021-09-25,Ireland,Dublin,18.25,84.37,0.13,0
2021-09-25,Israel,Jerusalem,20.28,65.16,0,0
2021-09-25,Italy,Rome,22.92,64.08,0,0
2021-09-25,Japan,Tokyo,21.65,71.41,0.7,0
2021-09-25,Latvia,Riga,12.25,87.95,5.33,0
2021-09-25,Lithuania,Vilnius,11.4,89.58,1.56,0
2021-09-25,Luxembourg,Luxembourg,15.33,85.2,2.26,0
2021-09-25,Mexico,Mexico City,17.79,64.79,0.77,0
2021-09-25,Netherlands,Amsterdam,18.21,87.75,0.3,0
2021-09-25,New Zealand,Wellington,13.97,80.25,0.78,0
2021-09-25,Norway,Oslo,12.45,30.37,0,0
2021-09-25,Poland,Warsaw,16.12,89.79,0,0
2021-09-25,Portugal,Lisbon,19.59,74.58,3.17,0
2021-09-25,Slovakia,Bratislava,17.9,71.83,0,0
2021-09-25,Slovenia,Ljubljana,15.57,78.66,0,0
2021-09-25,South Korea,Seoul,21.02,74.75,0,0
2021-09-25,Spain,Madrid,17.96,74.83,1.04,0
2021-09-25,Sweden,Stockholm,11.63,79.41,0.71,0
2021-09-25,Switzerland,Bern,17.45,77.75,0.79,0
2021-09-25,Taiwan,Taipei,28.01,64.2,0,0
2021-09-25,Turkey,Ankara,13.59,57.41,0,0
2021-09-25,United Kingdom,London,16.74,91,0.15,0
2021-09-25,United States,Washington D.C.,18.1,72.04,0.25,0
