tDate,Country,VaccinatedRate
2022-08-30,Australia,86.95
2022-08-30,Austria,76.12
2022-08-30,Canada,86.75
2022-08-30,China,0.00
2022-08-30,Czechia,65.01
2022-08-30,Denmark,82.90
2022-08-30,Finland,0.00
2022-08-30,France,83.37
2022-08-30,Germany,77.19
2022-08-30,Greece,76.42
2022-08-30,Hungary,66.60
2022-08-30,Israel,76.42
2022-08-30,Italy,84.20
2022-08-30,Lithuania,72.66
2022-08-30,New Zealand,88.40
2022-08-30,Norway,79.49
2022-08-30,Poland,60.24
2022-08-30,South Korea,87.04
2022-08-30,Taiwan,90.17
2022-08-30,Turkey,68.10
