Date,Country,VaccinatedRate
2021-03-25,Australia,0.00
2021-03-25,Austria,12.29
2021-03-25,Belgium,10.61
2021-03-25,Canada,10.34
2021-03-25,Chile,32.39
2021-03-25,China,0.00
2021-03-25,Colombia,2.65
2021-03-25,Costa Rica,0.00
2021-03-25,Czechia,10.33
2021-03-25,Denmark,11.27
2021-03-25,Estonia,14.01
2021-03-25,Finland,14.13
2021-03-25,France,11.34
2021-03-25,Germany,10.22
2021-03-25,Greece,9.99
2021-03-25,Hungary,18.72
2021-03-25,Iceland,11.53
2021-03-25,Ireland,11.02
2021-03-25,Israel,59.36
2021-03-25,Italy,10.16
2021-03-25,Japan,0.59
2021-03-25,Latvia,6.74
2021-03-25,Lithuania,11.67
2021-03-25,Luxembourg,9.89
2021-03-25,Mexico,4.19
2021-03-25,Netherlands,0.00
2021-03-25,New Zealand,0.81
2021-03-25,Norway,11.18
2021-03-25,Poland,0.00
2021-03-25,Portugal,10.09
2021-03-25,Slovakia,11.34
2021-03-25,Slovenia,10.25
2021-03-25,South Korea,1.49
2021-03-25,Spain,9.51
2021-03-25,Sweden,0.00
2021-03-25,Switzerland,9.57
2021-03-25,Taiwan,0.03
2021-03-25,Turkey,9.60
2021-03-25,United Kingdom,42.98
2021-03-25,United States,26.24
