tDate,Country,VaccinatedRate
2022-05-26,Australia,86.53
2022-05-26,Belgium,79.46
2022-05-26,Canada,86.67
2022-05-26,Chile,93.46
2022-05-26,China,89.29
2022-05-26,Czechia,64.92
2022-05-26,Denmark,83.16
2022-05-26,Estonia,65.04
2022-05-26,France,83.14
2022-05-26,Germany,76.93
2022-05-26,Greece,76.32
2022-05-26,Hungary,0.00
2022-05-26,Ireland,81.99
2022-05-26,Israel,76.33
2022-05-26,Italy,84.12
2022-05-26,Japan,82.14
2022-05-26,Latvia,72.06
2022-05-26,Lithuania,72.55
2022-05-26,Luxembourg,0.00
2022-05-26,New Zealand,88.26
2022-05-26,Norway,79.37
2022-05-26,Poland,60.10
2022-05-26,Slovakia,0.00
2022-05-26,Slovenia,60.88
2022-05-26,South Korea,86.94
2022-05-26,Switzerland,69.82
2022-05-26,Taiwan,85.10
2022-05-26,Turkey,68.01
2022-05-26,United States,77.66
