tDate,Country,VaccinatedRate
2022-03-01,Australia,85.56
2022-03-01,Austria,0.00
2022-03-01,Belgium,79.24
2022-03-01,Canada,0.00
2022-03-01,Chile,92.66
2022-03-01,China,0.00
2022-03-01,Czechia,64.74
2022-03-01,Estonia,64.71
2022-03-01,Finland,0.00
2022-03-01,France,82.48
2022-03-01,Germany,75.65
2022-03-01,Greece,75.80
2022-03-01,Hungary,66.38
2022-03-01,Iceland,90.14
2022-03-01,Ireland,81.37
2022-03-01,Israel,76.22
2022-03-01,Italy,83.87
2022-03-01,Japan,0.00
2022-03-01,Latvia,71.90
2022-03-01,Lithuania,72.36
2022-03-01,Mexico,65.44
2022-03-01,Netherlands,0.00
2022-03-01,New Zealand,87.71
2022-03-01,Norway,79.21
2022-03-01,Poland,59.60
2022-03-01,Portugal,95.02
2022-03-01,Slovenia,60.80
2022-03-01,South Korea,86.57
2022-03-01,Spain,87.87
2022-03-01,Sweden,76.83
2022-03-01,Switzerland,69.73
2022-03-01,Taiwan,81.11
2022-03-01,Turkey,67.84
2022-03-01,United Kingdom,77.18
2022-03-01,United States,76.27
