tDate,Country,VaccinatedRate
2021-03-13,Australia,0.62
2021-03-13,Austria,8.96
2021-03-13,Belgium,7.02
2021-03-13,Canada,6.15
2021-03-13,Chile,25.09
2021-03-13,China,0.00
2021-03-13,Colombia,1.46
2021-03-13,Costa Rica,0.00
2021-03-13,Czechia,7.39
2021-03-13,Denmark,9.90
2021-03-13,Estonia,10.04
2021-03-13,Finland,10.59
2021-03-13,France,8.08
2021-03-13,Germany,7.79
2021-03-13,Greece,8.46
2021-03-13,Hungary,13.69
2021-03-13,Iceland,0.00
2021-03-13,Ireland,9.06
2021-03-13,Israel,57.61
2021-03-13,Italy,7.92
2021-03-13,Japan,0.00
2021-03-13,Latvia,5.04
2021-03-13,Lithuania,9.52
2021-03-13,Luxembourg,0.00
2021-03-13,Mexico,2.77
2021-03-13,Netherlands,0.00
2021-03-13,New Zealand,0.46
2021-03-13,Norway,8.39
2021-03-13,Poland,7.71
2021-03-13,Portugal,8.40
2021-03-13,Slovakia,7.72
2021-03-13,Slovenia,8.56
2021-03-13,South Korea,1.14
2021-03-13,Spain,0.00
2021-03-13,Sweden,0.00
2021-03-13,Switzerland,7.80
2021-03-13,Turkey,9.27
2021-03-13,United Kingdom,35.47
2021-03-13,United States,20.69
