tDate,Country,VaccinatedRate
2022-03-11,Australia,85.79
2022-03-11,Austria,75.29
2022-03-11,Belgium,79.31
2022-03-11,Canada,85.71
2022-03-11,China,0.00
2022-03-11,Colombia,81.07
2022-03-11,Costa Rica,0.00
2022-03-11,Czechia,64.78
2022-03-11,Denmark,83.30
2022-03-11,Estonia,64.77
2022-03-11,Finland,0.00
2022-03-11,France,82.53
2022-03-11,Germany,75.77
2022-03-11,Greece,75.96
2022-03-11,Hungary,0.00
2022-03-11,Iceland,0.00
2022-03-11,Ireland,81.52
2022-03-11,Israel,76.23
2022-03-11,Italy,83.94
2022-03-11,Japan,0.00
2022-03-11,Latvia,71.94
2022-03-11,Lithuania,72.39
2022-03-11,Mexico,0.00
2022-03-11,Netherlands,0.00
2022-03-11,New Zealand,87.96
2022-03-11,Norway,79.24
2022-03-11,Poland,59.67
2022-03-11,Slovakia,0.00
2022-03-11,Slovenia,60.82
2022-03-11,South Korea,86.65
2022-03-11,Sweden,76.88
2022-03-11,Switzerland,69.75
2022-03-11,Taiwan,81.30
2022-03-11,Turkey,67.89
2022-03-11,United Kingdom,77.26
2022-03-11,United States,76.49
