tDate,Country,VaccinatedRate
2022-07-16,Australia,86.76
2022-07-16,Belgium,79.52
2022-07-16,Chile,93.78
2022-07-16,China,0.00
2022-07-16,Czechia,64.97
2022-07-16,Denmark,83.03
2022-07-16,Estonia,65.17
2022-07-16,France,83.30
2022-07-16,Germany,77.14
2022-07-16,Greece,76.38
2022-07-16,Hungary,0.00
2022-07-16,Ireland,82.14
2022-07-16,Israel,76.38
2022-07-16,Italy,84.17
2022-07-16,Japan,82.36
2022-07-16,Lithuania,0.00
2022-07-16,Luxembourg,75.84
2022-07-16,New Zealand,88.34
2022-07-16,Norway,79.45
2022-07-16,Poland,60.17
2022-07-16,Slovakia,0.00
2022-07-16,South Korea,86.99
2022-07-16,Switzerland,69.88
2022-07-16,Taiwan,0.00
2022-07-16,Turkey,68.04
2022-07-16,United States,78.44
