tDate,Country,VaccinatedRate
2022-06-22,Australia,86.64
2022-06-22,Belgium,79.50
2022-06-22,Canada,86.08
2022-06-22,Chile,93.66
2022-06-22,China,0.00
2022-06-22,Czechia,64.94
2022-06-22,Denmark,83.11
2022-06-22,Finland,0.00
2022-06-22,France,83.22
2022-06-22,Germany,77.10
2022-06-22,Greece,76.35
2022-06-22,Ireland,82.08
2022-06-22,Israel,76.36
2022-06-22,Italy,84.15
2022-06-22,Japan,82.29
2022-06-22,Lithuania,72.58
2022-06-22,Luxembourg,75.81
2022-06-22,New Zealand,0.00
2022-06-22,Norway,79.43
2022-06-22,Poland,60.14
2022-06-22,Slovenia,60.89
2022-06-22,South Korea,86.96
2022-06-22,Spain,88.25
2022-06-22,Sweden,0.00
2022-06-22,Taiwan,88.69
2022-06-22,Turkey,68.03
