tDate,Country,VaccinatedRate
2022-12-05,Austria,76.25
2022-12-05,Canada,90.33
2022-12-05,Chile,94.11
2022-12-05,China,0.00
2022-12-05,Czechia,65.05
2022-12-05,Denmark,82.61
2022-12-05,Estonia,65.52
2022-12-05,Finland,0.00
2022-12-05,France,83.47
2022-12-05,Germany,77.26
2022-12-05,Greece,76.48
2022-12-05,Israel,76.47
2022-12-05,Italy,84.25
2022-12-05,Japan,82.85
2022-12-05,Lithuania,72.73
2022-12-05,New Zealand,88.45
2022-12-05,Poland,60.40
2022-12-05,South Korea,87.09
2022-12-05,Taiwan,91.43
