Date,Country,VaccinatedRate
2021-01-22,Austria,2.26
2021-01-22,Belgium,2.05
2021-01-22,Canada,1.91
2021-01-22,Chile,0.30
2021-01-22,China,0.00
2021-01-22,Costa Rica,0.00
2021-01-22,Czechia,1.78
2021-01-22,Denmark,2.99
2021-01-22,Estonia,1.74
2021-01-22,Finland,0.00
2021-01-22,France,1.64
2021-01-22,Germany,1.84
2021-01-22,Greece,1.36
2021-01-22,Hungary,1.49
2021-01-22,Iceland,0.00
2021-01-22,Ireland,0.00
2021-01-22,Israel,28.83
2021-01-22,Italy,2.23
2021-01-22,Latvia,0.90
2021-01-22,Lithuania,2.21
2021-01-22,Luxembourg,0.00
2021-01-22,Mexico,0.46
2021-01-22,Netherlands,0.00
2021-01-22,Norway,1.47
2021-01-22,Poland,1.69
2021-01-22,Portugal,2.18
2021-01-22,Slovakia,1.82
2021-01-22,Slovenia,2.57
2021-01-22,Spain,2.35
2021-01-22,Sweden,0.00
2021-01-22,Switzerland,1.97
2021-01-22,Turkey,0.00
2021-01-22,United Kingdom,8.59
2021-01-22,United States,4.88
