Date,Country,VaccinatedRate
2021-09-20,Australia,58.54
2021-09-20,Austria,62.58
2021-09-20,Belgium,73.41
2021-09-20,Canada,75.54
2021-09-20,Chile,76.75
2021-09-20,China,0.00
2021-09-20,Colombia,49.29
2021-09-20,Costa Rica,63.72
2021-09-20,Czechia,56.41
2021-09-20,Denmark,76.46
2021-09-20,Estonia,56.52
2021-09-20,Finland,73.98
2021-09-20,France,76.33
2021-09-20,Germany,66.69
2021-09-20,Greece,61.47
2021-09-20,Hungary,60.85
2021-09-20,Iceland,0.00
2021-09-20,Ireland,75.34
2021-09-20,Israel,69.08
2021-09-20,Italy,73.51
2021-09-20,Japan,66.85
2021-09-20,Latvia,47.59
2021-09-20,Lithuania,63.96
2021-09-20,Mexico,47.95
2021-09-20,Netherlands,0.00
2021-09-20,New Zealand,64.16
2021-09-20,Norway,74.66
2021-09-20,Poland,52.01
2021-09-20,Portugal,87.43
2021-09-20,Slovakia,44.39
2021-09-20,Slovenia,52.65
2021-09-20,South Korea,70.51
2021-09-20,Spain,80.16
2021-09-20,Sweden,0.00
2021-09-20,Switzerland,61.82
2021-09-20,Taiwan,0.00
2021-09-20,Turkey,62.12
2021-09-20,United Kingdom,71.28
2021-09-20,United States,63.69
