tDate,Country,VaccinatedRate
2021-09-26,Australia,62.44
2021-09-26,Austria,63.14
2021-09-26,Belgium,73.70
2021-09-26,Canada,76.35
2021-09-26,Chile,78.11
2021-09-26,China,0.00
2021-09-26,Colombia,50.81
2021-09-26,Costa Rica,0.00
2021-09-26,Czechia,56.61
2021-09-26,Denmark,76.56
2021-09-26,Estonia,56.99
2021-09-26,Finland,74.37
2021-09-26,France,76.70
2021-09-26,Germany,67.18
2021-09-26,Greece,61.88
2021-09-26,Hungary,61.02
2021-09-26,Iceland,0.00
2021-09-26,Ireland,75.57
2021-09-26,Israel,69.32
2021-09-26,Italy,74.36
2021-09-26,Japan,69.02
2021-09-26,Latvia,48.56
2021-09-26,Lithuania,64.56
2021-09-26,Luxembourg,65.84
2021-09-26,Mexico,48.73
2021-09-26,Netherlands,74.60
2021-09-26,New Zealand,66.67
2021-09-26,Norway,75.69
2021-09-26,Poland,0.00
2021-09-26,Portugal,87.81
2021-09-26,Slovakia,44.71
2021-09-26,Slovenia,53.70
2021-09-26,South Korea,73.52
2021-09-26,Spain,80.46
2021-09-26,Sweden,0.00
2021-09-26,Switzerland,62.89
2021-09-26,Taiwan,51.47
2021-09-26,Turkey,62.84
2021-09-26,United Kingdom,71.46
2021-09-26,United States,64.12
