Date,Country,VaccinatedRate
2022-03-13,Australia,85.82
2022-03-13,Canada,85.73
2022-03-13,China,0.00
2022-03-13,Czechia,64.78
2022-03-13,Denmark,83.31
2022-03-13,Estonia,64.77
2022-03-13,France,82.53
2022-03-13,Germany,75.77
2022-03-13,Greece,75.98
2022-03-13,Ireland,81.51
2022-03-13,Israel,76.23
2022-03-13,Italy,83.95
2022-03-13,Japan,80.88
2022-03-13,Latvia,71.94
2022-03-13,Lithuania,72.39
2022-03-13,Mexico,0.00
2022-03-13,New Zealand,0.00
2022-03-13,Norway,79.23
2022-03-13,Poland,59.68
2022-03-13,Slovakia,51.61
2022-03-13,Slovenia,60.82
2022-03-13,South Korea,86.66
2022-03-13,Switzerland,69.75
2022-03-13,Taiwan,81.32
2022-03-13,Turkey,67.89
2022-03-13,United Kingdom,77.28
2022-03-13,United States,76.48
