Date,Country,VaccinatedRate
2022-08-03,Australia,86.86
2022-08-03,Chile,93.88
2022-08-03,China,0.00
2022-08-03,Czechia,64.99
2022-08-03,Denmark,82.98
2022-08-03,Finland,81.46
2022-08-03,France,83.34
2022-08-03,Germany,77.16
2022-08-03,Greece,76.40
2022-08-03,Israel,76.39
2022-08-03,Italy,84.18
2022-08-03,Japan,82.45
2022-08-03,Lithuania,72.62
2022-08-03,New Zealand,0.00
2022-08-03,Norway,79.47
2022-08-03,Poland,60.20
2022-08-03,South Korea,87.01
2022-08-03,Taiwan,89.41
2022-08-03,Turkey,68.07
