Date,Country,VaccinatedRate
2021-07-09,Australia,25.95
2021-07-09,Austria,55.61
2021-07-09,Belgium,65.23
2021-07-09,Canada,68.68
2021-07-09,Chile,68.81
2021-07-09,China,0.00
2021-07-09,Colombia,0.00
2021-07-09,Costa Rica,0.00
2021-07-09,Czechia,48.80
2021-07-09,Denmark,62.41
2021-07-09,Estonia,43.79
2021-07-09,Finland,62.01
2021-07-09,France,54.77
2021-07-09,Germany,58.03
2021-07-09,Greece,50.18
2021-07-09,Iceland,77.13
2021-07-09,Ireland,54.93
2021-07-09,Israel,65.13
2021-07-09,Italy,59.25
2021-07-09,Japan,31.44
2021-07-09,Latvia,37.41
2021-07-09,Lithuania,47.42
2021-07-09,Luxembourg,57.57
2021-07-09,Mexico,26.92
2021-07-09,Netherlands,0.00
2021-07-09,New Zealand,16.57
2021-07-09,Norway,56.24
2021-07-09,Poland,45.97
2021-07-09,Portugal,0.00
2021-07-09,Slovakia,39.06
2021-07-09,Slovenia,40.80
2021-07-09,South Korea,30.06
2021-07-09,Spain,0.00
2021-07-09,Sweden,0.00
2021-07-09,Switzerland,51.19
2021-07-09,Taiwan,13.77
2021-07-09,Turkey,44.13
2021-07-09,United Kingdom,67.13
2021-07-09,United States,55.13
