Date,Country,VaccinatedRate
2021-02-03,Austria,2.74
2021-02-03,Belgium,2.92
2021-02-03,Canada,2.29
2021-02-03,Chile,1.25
2021-02-03,China,0.00
2021-02-03,Costa Rica,0.00
2021-02-03,Czechia,2.36
2021-02-03,Denmark,3.16
2021-02-03,Estonia,2.39
2021-02-03,Finland,2.70
2021-02-03,France,2.82
2021-02-03,Germany,2.51
2021-02-03,Greece,2.66
2021-02-03,Hungary,2.59
2021-02-03,Iceland,3.52
2021-02-03,Ireland,0.00
2021-02-03,Israel,37.72
2021-02-03,Italy,2.33
2021-02-03,Latvia,0.95
2021-02-03,Lithuania,2.85
2021-02-03,Luxembourg,1.98
2021-02-03,Mexico,0.49
2021-02-03,Netherlands,0.00
2021-02-03,Norway,2.61
2021-02-03,Poland,2.96
2021-02-03,Portugal,2.97
2021-02-03,Slovakia,3.05
2021-02-03,Slovenia,2.67
2021-02-03,Spain,2.74
2021-02-03,Sweden,0.00
2021-02-03,Switzerland,3.62
2021-02-03,Turkey,0.00
2021-02-03,United Kingdom,15.38
2021-02-03,United States,8.16
