tDate,Country,VaccinatedRate
2021-02-20,Australia,0.00
2021-02-20,Austria,3.81
2021-02-20,Belgium,3.77
2021-02-20,Canada,2.76
2021-02-20,Chile,14.84
2021-02-20,China,0.00
2021-02-20,Colombia,0.00
2021-02-20,Costa Rica,0.00
2021-02-20,Czechia,3.22
2021-02-20,Denmark,5.19
2021-02-20,Estonia,4.66
2021-02-20,Finland,4.98
2021-02-20,France,4.10
2021-02-20,Germany,3.90
2021-02-20,Greece,4.49
2021-02-20,Hungary,4.62
2021-02-20,Iceland,0.00
2021-02-20,Ireland,4.41
2021-02-20,Israel,48.70
2021-02-20,Italy,3.63
2021-02-20,Japan,0.00
2021-02-20,Latvia,1.54
2021-02-20,Lithuania,4.57
2021-02-20,Luxembourg,0.00
2021-02-20,Mexico,0.93
2021-02-20,Netherlands,0.00
2021-02-20,New Zealand,0.00
2021-02-20,Norway,5.48
2021-02-20,Poland,4.69
2021-02-20,Portugal,4.36
2021-02-20,Slovakia,4.96
2021-02-20,Slovenia,4.66
2021-02-20,Spain,0.00
2021-02-20,Sweden,0.00
2021-02-20,Switzerland,5.46
2021-02-20,Turkey,6.47
2021-02-20,United Kingdom,25.78
2021-02-20,United States,12.86
