Date,Country,VaccinatedRate
2021-01-31,Austria,2.65
2021-01-31,Belgium,2.71
2021-01-31,Canada,2.22
2021-01-31,Chile,0.30
2021-01-31,China,0.00
2021-01-31,Costa Rica,0.00
2021-01-31,Czechia,2.24
2021-01-31,Denmark,3.09
2021-01-31,Estonia,2.12
2021-01-31,Finland,0.00
2021-01-31,France,2.53
2021-01-31,Germany,2.29
2021-01-31,Greece,0.00
2021-01-31,Hungary,2.47
2021-01-31,Iceland,0.00
2021-01-31,Ireland,3.02
2021-01-31,Israel,35.30
2021-01-31,Italy,2.30
2021-01-31,Latvia,0.92
2021-01-31,Lithuania,2.69
2021-01-31,Luxembourg,1.69
2021-01-31,Mexico,0.48
2021-01-31,Netherlands,2.04
2021-01-31,Norway,2.03
2021-01-31,Poland,2.58
2021-01-31,Portugal,2.74
2021-01-31,Slovakia,2.55
2021-01-31,Slovenia,2.65
2021-01-31,Spain,2.68
2021-01-31,Sweden,2.95
2021-01-31,Switzerland,3.17
2021-01-31,Turkey,0.00
2021-01-31,United Kingdom,13.63
2021-01-31,United States,7.57
