Date,Country,VaccinatedRate
2021-07-25,Australia,30.30
2021-07-25,Austria,58.04
2021-07-25,Belgium,68.03
2021-07-25,Canada,70.29
2021-07-25,Chile,71.71
2021-07-25,China,0.00
2021-07-25,Colombia,31.69
2021-07-25,Costa Rica,0.00
2021-07-25,Czechia,51.55
2021-07-25,Denmark,70.48
2021-07-25,Estonia,46.89
2021-07-25,Finland,65.49
2021-07-25,France,61.18
2021-07-25,Germany,60.49
2021-07-25,Greece,53.99
2021-07-25,Hungary,58.09
2021-07-25,Iceland,0.00
2021-07-25,Ireland,63.18
2021-07-25,Israel,65.56
2021-07-25,Italy,62.04
2021-07-25,Japan,38.41
2021-07-25,Latvia,40.20
2021-07-25,Lithuania,50.30
2021-07-25,Luxembourg,0.00
2021-07-25,Mexico,32.57
2021-07-25,Netherlands,69.15
2021-07-25,New Zealand,20.82
2021-07-25,Norway,62.39
2021-07-25,Poland,47.79
2021-07-25,Portugal,67.19
2021-07-25,Slovakia,41.14
2021-07-25,Slovenia,43.20
2021-07-25,South Korea,32.62
2021-07-25,Spain,65.95
2021-07-25,Sweden,61.73
2021-07-25,Switzerland,52.88
2021-07-25,Taiwan,26.97
2021-07-25,Turkey,46.56
2021-07-25,United Kingdom,68.31
2021-07-25,United States,56.61
