tDate,Country,VaccinatedRate
2021-05-05,Australia,0.00
2021-05-05,Austria,27.76
2021-05-05,Belgium,28.82
2021-05-05,Canada,35.18
2021-05-05,Chile,43.76
2021-05-05,China,0.00
2021-05-05,Colombia,0.00
2021-05-05,Costa Rica,0.00
2021-05-05,Czechia,22.66
2021-05-05,Denmark,24.69
2021-05-05,Estonia,26.70
2021-05-05,Finland,32.53
2021-05-05,France,26.11
2021-05-05,Germany,30.45
2021-05-05,Greece,21.91
2021-05-05,Hungary,43.11
2021-05-05,Iceland,33.62
2021-05-05,Ireland,0.00
2021-05-05,Israel,61.60
2021-05-05,Italy,26.08
2021-05-05,Japan,2.71
2021-05-05,Latvia,17.59
2021-05-05,Lithuania,27.11
2021-05-05,Luxembourg,25.27
2021-05-05,Mexico,10.23
2021-05-05,Netherlands,0.00
2021-05-05,New Zealand,4.75
2021-05-05,Norway,26.69
2021-05-05,Poland,25.01
2021-05-05,Portugal,26.57
2021-05-05,Slovakia,21.34
2021-05-05,Slovenia,21.80
2021-05-05,South Korea,6.89
2021-05-05,Spain,27.74
2021-05-05,Sweden,0.00
2021-05-05,Switzerland,22.91
2021-05-05,Taiwan,0.31
2021-05-05,Turkey,16.77
2021-05-05,United Kingdom,51.22
2021-05-05,United States,44.62
