Date,Country,VaccinatedRate
2021-09-28,Australia,63.60
2021-09-28,Austria,63.28
2021-09-28,Belgium,73.76
2021-09-28,Canada,76.61
2021-09-28,Chile,79.26
2021-09-28,China,0.00
2021-09-28,Colombia,0.00
2021-09-28,Czechia,56.65
2021-09-28,Denmark,76.60
2021-09-28,Estonia,57.12
2021-09-28,Finland,74.37
2021-09-28,France,76.80
2021-09-28,Germany,67.32
2021-09-28,Greece,62.02
2021-09-28,Hungary,61.08
2021-09-28,Iceland,0.00
2021-09-28,Ireland,75.63
2021-09-28,Israel,69.39
2021-09-28,Italy,74.63
2021-09-28,Japan,69.98
2021-09-28,Latvia,49.03
2021-09-28,Lithuania,64.77
2021-09-28,Mexico,48.92
2021-09-28,Netherlands,0.00
2021-09-28,New Zealand,67.21
2021-09-28,Norway,75.85
2021-09-28,Poland,52.38
2021-09-28,Slovakia,44.79
2021-09-28,Slovenia,53.99
2021-09-28,South Korea,74.82
2021-09-28,Spain,80.56
2021-09-28,Sweden,70.29
2021-09-28,Switzerland,63.17
2021-09-28,Taiwan,53.71
2021-09-28,Turkey,63.10
2021-09-28,United Kingdom,71.54
2021-09-28,United States,0.00
