tDate,Country,VaccinatedRate
2021-11-28,Australia,77.46
2021-11-28,Austria,70.01
2021-11-28,Belgium,75.95
2021-11-28,Canada,79.69
2021-11-28,Chile,87.69
2021-11-28,China,0.00
2021-11-28,Colombia,72.25
2021-11-28,Costa Rica,0.00
2021-11-28,Czechia,61.82
2021-11-28,Denmark,78.46
2021-11-28,Estonia,62.39
2021-11-28,Finland,0.00
2021-11-28,France,79.40
2021-11-28,Germany,70.68
2021-11-28,Greece,67.70
2021-11-28,Hungary,63.53
2021-11-28,Iceland,0.00
2021-11-28,Ireland,77.44
2021-11-28,Israel,71.88
2021-11-28,Italy,78.13
2021-11-28,Japan,79.12
2021-11-28,Latvia,68.13
2021-11-28,Lithuania,69.36
2021-11-28,Luxembourg,71.67
2021-11-28,Mexico,58.81
2021-11-28,Netherlands,77.16
2021-11-28,New Zealand,79.88
2021-11-28,Norway,77.56
2021-11-28,Poland,55.07
2021-11-28,Slovakia,48.30
2021-11-28,Slovenia,59.14
2021-11-28,South Korea,82.05
2021-11-28,Spain,81.93
2021-11-28,Sweden,0.00
2021-11-28,Switzerland,67.01
2021-11-28,Taiwan,76.27
2021-11-28,Turkey,66.09
2021-11-28,United Kingdom,74.69
2021-11-28,United States,70.22
