tDate,Country,VaccinatedRate
2021-03-31,Australia,0.00
2021-03-31,Austria,13.87
2021-03-31,Belgium,12.23
2021-03-31,Canada,13.15
2021-03-31,Chile,35.47
2021-03-31,China,0.00
2021-03-31,Colombia,3.82
2021-03-31,Costa Rica,0.00
2021-03-31,Czechia,11.31
2021-03-31,Denmark,12.64
2021-03-31,Estonia,15.32
2021-03-31,Finland,16.09
2021-03-31,France,13.41
2021-03-31,Germany,11.81
2021-03-31,Greece,10.54
2021-03-31,Hungary,21.44
2021-03-31,Iceland,14.35
2021-03-31,Ireland,12.42
2021-03-31,Israel,59.70
2021-03-31,Italy,11.95
2021-03-31,Japan,0.70
2021-03-31,Latvia,7.71
2021-03-31,Lithuania,13.12
2021-03-31,Luxembourg,11.52
2021-03-31,Mexico,5.30
2021-03-31,Netherlands,0.00
2021-03-31,New Zealand,1.20
2021-03-31,Norway,12.90
2021-03-31,Poland,11.19
2021-03-31,Portugal,12.41
2021-03-31,Slovakia,13.19
2021-03-31,Slovenia,12.36
2021-03-31,South Korea,1.70
2021-03-31,Spain,11.37
2021-03-31,Sweden,0.00
2021-03-31,Switzerland,10.78
2021-03-31,Taiwan,0.06
2021-03-31,Turkey,10.58
2021-03-31,United Kingdom,45.67
2021-03-31,United States,29.31
