Date,Country,VaccinatedRate
2022-08-18,Australia,86.92
2022-08-18,Austria,76.10
2022-08-18,Chile,93.94
2022-08-18,China,0.00
2022-08-18,Czechia,65.00
2022-08-18,Denmark,82.95
2022-08-18,France,83.36
2022-08-18,Germany,77.17
2022-08-18,Greece,76.41
2022-08-18,Israel,76.41
2022-08-18,Italy,84.19
2022-08-18,Japan,82.52
2022-08-18,Lithuania,72.65
2022-08-18,Norway,79.48
2022-08-18,Poland,60.22
2022-08-18,South Korea,87.03
2022-08-18,Sweden,77.21
2022-08-18,Taiwan,89.70
2022-08-18,Turkey,68.09
